Identifier	MoleculeName	
Q14055	UniProt:Q14055 COL9A2	
P20849	UniProt:P20849 COL9A1	
Q14050	UniProt:Q14050 COL9A3	
P08123	UniProt:P08123 COL1A2	
P02452	UniProt:P02452 COL1A1	
A8TX70	UniProt:A8TX70 COL6A5	
A6NMZ7	UniProt:A6NMZ7 COL6A6	
P12111	UniProt:P12111 COL6A3	
P12109	UniProt:P12109 COL6A1	
P12110	UniProt:P12110 COL6A2	
P21810	UniProt:P21810 BGN	
P04004	UniProt:P04004 VTN	
P08572	UniProt:P08572 COL4A2	
P02462	UniProt:P02462 COL4A1	
P53420	UniProt:P53420 COL4A4	
P29400	UniProt:P29400 COL4A5	
Q01955	UniProt:Q01955 COL4A3	
Q14031	UniProt:Q14031 COL4A6	
P10915	UniProt:P10915 HAPLN1	
P16112	UniProt:P16112 ACAN	
P02461	UniProt:P02461 COL3A1	
P02458	UniProt:P02458 COL2A1	
P02751	UniProt:P02751 FN1	
P22105	UniProt:P22105 TNXB	
Q9UQP3	UniProt:Q9UQP3 TNN	
Q92752	UniProt:Q92752 TNR	
P24821	UniProt:P24821 TNC	
P49747	UniProt:P49747 COMP	
P21941	UniProt:P21941 MATN1	
O95460	UniProt:O95460 MATN4	
O15232	UniProt:O15232 MATN3	
O00468	UniProt:O00468 AGRN	
P24043	UniProt:P24043 LAMA2	
P07942	UniProt:P07942 LAMB1	
P11047	UniProt:P11047 LAMC1	
O15230	UniProt:O15230 LAMA5	
Q16363	UniProt:Q16363 LAMA4	
P55268	UniProt:P55268 LAMB2	
Q16787	UniProt:Q16787 LAMA3	
P25391	UniProt:P25391 LAMA1	
P09486	UniProt:P09486 SPARC	
P25940	UniProt:P25940 COL5A3	
P05997	UniProt:P05997 COL5A2	
P20908	UniProt:P20908 COL5A1	
P05067	UniProt:P05067 APP	
O75096	UniProt:O75096 LRP4	
O15146	UniProt:O15146 MUSK	
P13611	UniProt:P13611 VCAN	
O14594	UniProt:O14594 NCAN	
Q96GW7	UniProt:Q96GW7 BCAN	
P98160	UniProt:P98160 HSPG2	
Q14118	UniProt:Q14118 DAG1	
Q13332	UniProt:Q13332 PTPRS	
P13591	UniProt:P13591 NCAM1	
P51884	UniProt:P51884 LUM	
Q9BXN1	UniProt:Q9BXN1 ASPN	
Q06828	UniProt:Q06828 FMOD	
P07585	UniProt:P07585 DCN	
P10600	UniProt:P10600 TGFB3	
P61812	UniProt:P61812 TGFB2	
P01137	UniProt:P01137 TGFB1	
P17301	UniProt:P17301 ITGA2	
P05556	UniProt:P05556 ITGB1	
Q13797	UniProt:Q13797 ITGA9	
P06756	UniProt:P06756 ITGAV	
P05106	UniProt:P05106 ITGB3	
P18564	UniProt:P18564 ITGB6	
P20702	UniProt:P20702 ITGAX	
