Identifier	MoleculeName	
Q7Z5R6	UniProt:Q7Z5R6 APBB1IP	
P62834	UniProt:P62834 RAP1A	
P61224	UniProt:P61224 RAP1B	
Q9Y490	UniProt:Q9Y490 TLN1	
P02751	UniProt:P02751 FN1	
P04275	UniProt:P04275 VWF	
P02671	UniProt:P02671 FGA	
P02675	UniProt:P02675 FGB	
P02679	UniProt:P02679 FGG	
P05106	UniProt:P05106 ITGB3	
P08514	UniProt:P08514 ITGA2B	
P12931	UniProt:P12931 SRC	
Q05397	UniProt:Q05397 PTK2	
P41240	UniProt:P41240 CSK	
Q7LDG7	UniProt:Q7LDG7 RASGRP2	
O95267	UniProt:O95267 RASGRP1	
P62993-1	UniProt:P62993-1 GRB2	
Q07889	UniProt:Q07889 SOS1	
O95398	UniProt:O95398 RAPGEF3	
Q8WZA2	UniProt:Q8WZA2 RAPGEF4	
P18031	UniProt:P18031 PTPN1	
P12931-1	UniProt:P12931-1 SRC	
O15530	UniProt:O15530 PDPK1	
P31749	UniProt:P31749 AKT1	
P43405	UniProt:P43405 SYK	
P29353	UniProt:P29353 SHC1	
P56945	UniProt:P56945 BCAR1	
P46108	UniProt:P46108 CRK	
