Identifier	MoleculeName	
P05154	UniProt:P05154 SERPINA5	
P04070	UniProt:P04070 PROC	
P12259	UniProt:P12259 F5	
P00742	UniProt:P00742 F10	
P00734	UniProt:P00734 F2	
P07093	UniProt:P07093 SERPINE2	
P01008	UniProt:P01008 SERPINC1	
P00488	UniProt:P00488 F13A1	
P05160	UniProt:P05160 F13B	
P02671	UniProt:P02671 FGA	
P02675	UniProt:P02675 FGB	
P02679	UniProt:P02679 FGG	
P05546	UniProt:P05546 SERPIND1	
P07204	UniProt:P07204 THBD	
Q9UNN8	UniProt:Q9UNN8 PROCR	
P10720	UniProt:P10720 PF4V1	
P02776	UniProt:P02776 PF4	
P07225	UniProt:P07225 PROS1	
P00451	UniProt:P00451 F8	
P24158	UniProt:P24158 PRTN3	
Q8N6Q3	UniProt:Q8N6Q3 CD177	
P25116	UniProt:P25116 F2R	
P03951	UniProt:P03951 F11	
P14770	UniProt:P14770 GP9	
P07359	UniProt:P07359 GP1BA	
P13224	UniProt:P13224 GP1BB	
P40197	UniProt:P40197 GP5	
P00740	UniProt:P00740 F9	
P00748	UniProt:P00748 F12	
P05155	UniProt:P05155 SERPING1	
P03952	UniProt:P03952 KLKB1	
P04275	UniProt:P04275 VWF	
Q07021	UniProt:Q07021 C1QBP	
P01042	UniProt:P01042 KNG1	
P42785	UniProt:P42785 PRCP	
P01023	UniProt:P01023 A2M	
P13726	UniProt:P13726 F3	
P08709	UniProt:P08709 F7	
P10646	UniProt:P10646 TFPI	
