Identifier	MoleculeName	
Q16787	UniProt:Q16787 LAMA3	
Q13753	UniProt:Q13753 LAMC2	
Q13751	UniProt:Q13751 LAMB3	
Q02388	UniProt:Q02388 COL7A1	
P25391	UniProt:P25391 LAMA1	
P07942	UniProt:P07942 LAMB1	
P11047	UniProt:P11047 LAMC1	
P39060	UniProt:P39060 COL18A1	
P24043	UniProt:P24043 LAMA2	
O15230	UniProt:O15230 LAMA5	
P55268	UniProt:P55268 LAMB2	
Q16363	UniProt:Q16363 LAMA4	
P23229	UniProt:P23229 ITGA6	
P05556	UniProt:P05556 ITGB1	
Q9Y6N6	UniProt:Q9Y6N6 LAMC3	
P98160	UniProt:P98160 HSPG2	
P14543	UniProt:P14543 NID1	
Q14112	UniProt:Q14112 NID2	
P08572	UniProt:P08572 COL4A2	
P02462	UniProt:P02462 COL4A1	
P53420	UniProt:P53420 COL4A4	
P29400	UniProt:P29400 COL4A5	
Q01955	UniProt:Q01955 COL4A3	
Q14031	UniProt:Q14031 COL4A6	
P17301	UniProt:P17301 ITGA2	
P06756	UniProt:P06756 ITGAV	
Q13683	UniProt:Q13683 ITGA7	
P56199	UniProt:P56199 ITGA1	
P16144	UniProt:P16144 ITGB4	
P26006	UniProt:P26006 ITGA3	
