Identifier	MoleculeName	
Q13617	UniProt:Q13617 CUL2	
P62877	UniProt:P62877 RBX1	
Q15369	UniProt:Q15369 ELOC	
Q15370	UniProt:Q15370 ELOB	
P40337	UniProt:P40337 VHL	
Q9GZT9	UniProt:Q9GZT9 EGLN1	
Q9H6Z9	UniProt:Q9H6Z9 EGLN3	
A6NIX2	UniProt:A6NIX2 WTIP	
Q96IF1	UniProt:Q96IF1 AJUBA	
Q9UGP4	UniProt:Q9UGP4 LIMD1	
Q9Y2N7	UniProt:Q9Y2N7 HIF3A	
Q99814	UniProt:Q99814 EPAS1	
Q16665	UniProt:Q16665 HIF1A	
P62837	UniProt:P62837 UBE2D2	
P51668	UniProt:P51668 UBE2D1	
P61077	UniProt:P61077 UBE2D3	
P0CG48	UniProt:P0CG48 UBC	
P0CG47	UniProt:P0CG47 UBB	
P62987	UniProt:P62987 UBA52	
P62979	UniProt:P62979 RPS27A	
P48556	UniProt:P48556 PSMD8	
Q15008	UniProt:Q15008 PSMD6	
P60896	UniProt:P60896 SEM1	
O43242	UniProt:O43242 PSMD3	
O00231	UniProt:O00231 PSMD11	
O00487	UniProt:O00487 PSMD14	
P51665	UniProt:P51665 PSMD7	
O00232	UniProt:O00232 PSMD12	
Q9UNM6	UniProt:Q9UNM6 PSMD13	
Q99460	UniProt:Q99460 PSMD1	
Q16186	UniProt:Q16186 ADRM1	
P17980	UniProt:P17980 PSMC3	
P62333	UniProt:P62333 PSMC6	
P43686	UniProt:P43686 PSMC4	
P62195	UniProt:P62195 PSMC5	
P62191	UniProt:P62191 PSMC1	
P35998	UniProt:P35998 PSMC2	
Q13200	UniProt:Q13200 PSMD2	
O14818	UniProt:O14818 PSMA7	
P25786	UniProt:P25786 PSMA1	
P25787	UniProt:P25787 PSMA2	
P25788	UniProt:P25788 PSMA3	
P25789	UniProt:P25789 PSMA4	
P28066	UniProt:P28066 PSMA5	
P60900	UniProt:P60900 PSMA6	
P28074	UniProt:P28074 PSMB5	
P20618	UniProt:P20618 PSMB1	
P28072	UniProt:P28072 PSMB6	
Q99436	UniProt:Q99436 PSMB7	
P49721	UniProt:P49721 PSMB2	
P49720	UniProt:P49720 PSMB3	
P28070	UniProt:P28070 PSMB4	
Q96KS0	UniProt:Q96KS0 EGLN2	
Q9NWT6	UniProt:Q9NWT6 HIF1AN	
Q9Y241	UniProt:Q9Y241 HIGD1A	
P27540	UniProt:P27540 ARNT	
Q9Y2N7-1	UniProt:Q9Y2N7-1 HIF3A	
Q09472	UniProt:Q09472 EP300	
Q92793	UniProt:Q92793 CREBBP	
Q99967	UniProt:Q99967 CITED2	
Q16790	UniProt:Q16790 CA9	
P01588	UniProt:P01588 EPO	
P15692	UniProt:P15692 VEGFA	
