Identifier	MoleculeName	
P22455	UniProt:P22455 FGFR4	
P08620	UniProt:P08620 FGF4	
P05230	UniProt:P05230 FGF1	
O95750	UniProt:O95750 FGF19	
O76093	UniProt:O76093 FGF18	
Q9NP95	UniProt:Q9NP95 FGF20	
P55075-1	UniProt:P55075-1 FGF8	
Q9GZV9	UniProt:Q9GZV9 FGF23	
P09038	UniProt:P09038 FGF2	
O60258-1	UniProt:O60258-1 FGF17	
P10767	UniProt:P10767 FGF6	
P31371	UniProt:P31371 FGF9	
O43320	UniProt:O43320 FGF16	
Q86Z14	UniProt:Q86Z14 KLB	
P19174	UniProt:P19174 PLCG1	
P42336	UniProt:P42336 PIK3CA	
Q8WU20	UniProt:Q8WU20 FRS2	
P27986	UniProt:P27986 PIK3R1	
Q13480	UniProt:Q13480 GAB1	
P62993-1	UniProt:P62993-1 GRB2	
Q06124	UniProt:Q06124 PTPN11	
P29353-2	UniProt:P29353-2 SHC1	
P29353-3	UniProt:P29353-3 SHC1	
Q07889	UniProt:Q07889 SOS1	
P01116-2	UniProt:P01116-2 KRAS	
P01111	UniProt:P01111 NRAS	
P01116-1	UniProt:P01116-1 KRAS	
P01112	UniProt:P01112 HRAS	
O43559	UniProt:O43559 FRS3	
P27361	UniProt:P27361 MAPK3	
P28482	UniProt:P28482 MAPK1	
P22681	UniProt:P22681 CBL	
P0CG48	UniProt:P0CG48 UBC	
P0CG47	UniProt:P0CG47 UBB	
P62987	UniProt:P62987 UBA52	
P62979	UniProt:P62979 RPS27A	
Q9BUB5	UniProt:Q9BUB5 MKNK1	
P67775	UniProt:P67775 PPP2CA	
P62714	UniProt:P62714 PPP2CB	
P30153	UniProt:P30153 PPP2R1A	
O43597	UniProt:O43597 SPRY2	
P15056	UniProt:P15056 BRAF	
P12931-1	UniProt:P12931-1 SRC	
P12034-1	UniProt:P12034-1 FGF5	
P22607-1	UniProt:P22607-1 FGFR3	
P22607-2	UniProt:P22607-2 FGFR3	
Q14435	UniProt:Q14435 GALNT3	
P21802-1	UniProt:P21802-1 FGFR2	
P21802-5	UniProt:P21802-5 FGFR2	
P21802-18	UniProt:P21802-18 FGFR2	
Q9HCT0	UniProt:Q9HCT0 FGF22	
P11487	UniProt:P11487 FGF3	
P21781	UniProt:P21781 FGF7	
O15520	UniProt:O15520 FGF10	
P21802-3	UniProt:P21802-3 FGFR2	
Q8TAT2	UniProt:Q8TAT2 FGFBP3	
Q9BYJ0	UniProt:Q9BYJ0 FGFBP2	
Q14512	UniProt:Q14512 FGFBP1	
Q09161	UniProt:Q09161 NCBP1	
P52298	UniProt:P52298 NCBP2	
P35269	UniProt:P35269 GTF2F1	
P13984	UniProt:P13984 GTF2F2	
P30876	UniProt:P30876 POLR2B	
P19388	UniProt:P19388 POLR2E	
P53803	UniProt:P53803 POLR2K	
P19387	UniProt:P19387 POLR2C	
P62875	UniProt:P62875 POLR2L	
P52434	UniProt:P52434 POLR2H	
P61218	UniProt:P61218 POLR2F	
O15514	UniProt:O15514 POLR2D	
P36954	UniProt:P36954 POLR2I	
P52435	UniProt:P52435 POLR2J	
P62487	UniProt:P62487 POLR2G	
P24928	UniProt:P24928 POLR2A	
Q9H6T0	UniProt:Q9H6T0 ESRP2	
P52597	UniProt:P52597 HNRNPF	
P31943	UniProt:P31943 HNRNPH1	
O43251	UniProt:O43251 RBFOX2	
Q6NXG1	UniProt:Q6NXG1 ESRP1	
Q01085	UniProt:Q01085 TIAL1	
P31483	UniProt:P31483 TIA1	
P52272	UniProt:P52272 HNRNPM	
P26599	UniProt:P26599 PTBP1	
P09651	UniProt:P09651 HNRNPA1	
P11362-19	UniProt:P11362-19 FGFR1	
Q03167	UniProt:Q03167 TGFBR3	
O14908	UniProt:O14908 GIPC1	
Q9UEF7-2	UniProt:Q9UEF7-2 KL	
Q9UEF7-1	UniProt:Q9UEF7-1 KL	
P11362-1	UniProt:P11362-1 FGFR1	
P23352	UniProt:P23352 ANOS1	
Q7Z698	UniProt:Q7Z698 SPRED2	
Q7Z699	UniProt:Q7Z699 SPRED1	
Q8N441	UniProt:Q8N441 FGFRL1	
Q9NZU0	UniProt:Q9NZU0 FLRT3	
O43155	UniProt:O43155 FLRT2	
Q9NZU1	UniProt:Q9NZU1 FLRT1	
ENST00000358487	ENSEMBL:ENST00000358487 FGFR2c	
ENST00000457416	ENSEMBL:ENST00000457416 FGFR2b	
