"","comp1","comp2","Response"
"1",2.42253777737523,-1.81306380053781,"D5"
"2",5.57002394006075,-0.496600688781226,"D4"
"3",-0.983213930296795,6.70143461175654,"D2"
"4",-3.42550557695196,8.24940006196848,"D2"
"5",-9.38728592155679,7.25997289319734,"D2"
"6",-6.8974865844179,-3.66692132751209,"D1"
"7",-1.53385263887462,-2.67505845352157,"D1"
"8",-2.33652490548657,-4.95921366894971,"D1"
"9",3.43773602841002,-0.0906939384309903,"D3"
"10",4.3722404402108,-1.86500681253552,"D3"
"11",3.97880220436369,-2.77904095523518,"D4"
"12",2.55375250756699,0.837092461569409,"D3"
"13",-2.91746635136286,4.01447448170971,"D2"
"14",-5.74005798392743,-3.5736838761126,"D1"
"15",-6.26784944440628,-2.53151861653969,"D1"
"16",1.86007434212701,1.8162087205229,"D4"
"17",-4.51587921807572,-1.86549452858945,"D1"
"18",3.59648838548133,0.987139092239592,"D5"
"19",4.18512007457468,-1.22385321379759,"D4"
"20",3.08476855939608,-1.86668734492001,"D5"
"21",-9.21460090142432,-5.83127917610138,"D1"
"22",-4.84366303312059,3.95183431700965,"D2"
"23",-2.32159902757389,8.61574354744638,"D2"
"24",3.80078702023631,1.56611294061875,"D5"
"25",-8.75566046936279,-7.64295304468523,"D1"
"26",-0.71536463529945,-2.17848972901718,"D1"
"27",-4.09162519229836,-6.19363542370079,"D1"
"28",-3.38180481524608,2.13011486529707,"D2"
"29",5.09030529050592,1.00545210766394,"D3"
"30",0.208244532579687,-2.74255708539876,"D3"
"31",-5.62739394877437,2.57129129125691,"D2"
"32",2.78832961658,0.432737922205677,"D4"
"33",4.14747186203904,-0.147979525282309,"D5"
"34",-3.11544207738477,-3.73861943666705,"D1"
"35",-4.88310188979942,4.69054680327677,"D2"
"36",3.6581719984826,0.0333701444939346,"D5"
"37",-9.89268838281741,6.70256698742982,"D2"
"38",-0.671168560220064,-2.36933788430415,"D1"
"39",-1.40609972561092,6.27806611488277,"D2"
"40",3.87378811076926,1.24391597994362,"D3"
"41",3.67755055343261,-1.22907304848843,"D4"
"42",-2.80493417495811,3.11762552219207,"D2"
"43",-3.03197486966883,6.63194778872992,"D2"
"44",-2.71763514595437,-2.88236725649614,"D1"
"45",4.44413346985685,-1.12298783894628,"D5"
"46",3.15848629460088,-0.163983448056714,"D3"
"47",3.29483462870679,-1.92997214775473,"D3"
"48",1.73295940813327,1.44724227136116,"D3"
"49",4.02583338631523,-2.66800298375512,"D5"
"50",4.79531307248835,0.774455340069993,"D4"
"51",-0.721441166812443,6.06014296062434,"D2"
"52",-7.5312269498919,-3.10760245596776,"D1"
"53",-4.79122970805015,-2.36179279478829,"D1"
"54",-3.7883628260472,2.76154625725787,"D2"
"55",3.76970066186754,1.683974806444,"D5"
"56",-4.68122715600548,-5.6582762803814,"D1"
"57",3.64409866720722,0.713943179915013,"D3"
"58",4.04191151123833,2.87064450169914,"D3"
"59",4.96172215230616,0.432317814599697,"D4"
"60",4.14608149748391,-1.23105334577824,"D4"
"61",3.49133584458043,-0.701523895185625,"D4"
"62",3.55095946796168,-1.83402840256268,"D4"
"63",-0.313113591545217,3.99286345199394,"D2"
"64",-3.12373078334889,-6.45099788271158,"D1"
"65",4.25059331786754,-2.25372638375509,"D5"
"66",-0.8847578404577,4.07005052918484,"D2"
"67",-1.32793873099445,-6.93010103611933,"D1"
"68",3.9118519180648,1.78508109697743,"D4"
"69",-1.8105572342453,1.18402188687527,"D1"
"70",3.00405228255827,0.908325221732936,"D4"
"71",3.76262763798769,-0.807942199989166,"D3"
"72",0.69322850217884,4.18879890236775,"D2"
"73",2.96790068969567,0.779908964684864,"D5"
"74",3.36574348348498,-0.682412216944659,"D3"
"75",-2.13759358829329,-7.31004125412401,"D1"
"76",3.43481958212632,-1.72738837204155,"D5"
"77",2.16952870086495,-0.750834386965056,"D5"
"78",2.50522204299937,-2.65011156717495,"D4"
"79",1.16192751579513,2.21554188740683,"D3"
