Protein,MeanZ
Q9Y5C1,2.421680196878754
P54819,1.9943787988959891
O14791,2.216429496096446
P08397,1.9238352272302328
P42224,1.9598843602655678
Q8TF42,1.6022777852596284
Q9Y6E0,1.7673685047937744
Q12841,1.7332638078457412
Q01581,1.514357357327909
O94973,1.7888595366531308
P08246,2.1051501171131397
Q15485,1.7947755267586867
P02748,2.548594397369077
P02790,3.1577167848267154
P24592,2.605422400771299
Q15828,1.9774179375240348
P00338,2.010032248571409
P02774,1.6553093341661411
Q92743,1.5607122474717103
Q9BXR6,2.6702339788626324
P06396,2.7630629808150386
O76074,1.9411240114120074
P30043,2.443867484672921
P61086,1.9355628719942826
P06727,2.056932212662036
Q9NRV9,2.0239973131854336
P02768,2.0186205546057896
P54578,1.9482737974475353
Q06187,1.8891307189397293
P61020,1.5398830047171175
O60496,1.6684485984554662
P13591,2.0117914506969723
Q14126,2.2865529683965553
Q16853,2.006978351160705
Q8IXL6,2.399402566605998
P41226,1.8486522291654308
Q13163,1.6941597697838033
P19875,1.7032715598486077
P18065,2.166200649717427
P01031,2.0885563963472835
P11216,1.668373108251102
P02743,2.4958222568133115
P10721,1.5261777534183858
P35625,1.588373481446061
P55072,1.8417959555343328
P23368,2.0340194977810504
P05156,2.5085142692702442
P14780,1.7337116407107567
Q01973,1.5122409892835653
P01033,2.070885763120771
P07333.1,2.0697010456432143
P24592.1,1.833680782491475
P02776,2.0806886914920097
P05543,2.486124869767571
Q14005,1.5215320637549254
Q15389,1.5319110282028856
P01011,3.3278467936075837
P10643,2.5962007015965494
P02649,2.295667090612069
P00746,1.8736107274700093
P04070,2.51621616664819
Q12860,1.9167149750868722
Q03167,1.8299413825422977
P55773,1.926318017300274
P09486,2.172961342514419
P55774,2.5206415819349095
P00738,2.356873473283235
P18428,1.967221923000384
P09429,1.6272824278945104
Q76LX8,1.568439985134918
P08709,2.572771854179302
P04406,2.741479759994657
Q15582,2.123882700505267
P00736,2.633717634945639
P10646,2.0516479319594647
P35443,1.8142187591543228
P01008,2.9645503647578546
Q16610,2.2666516396318968
P05154,2.4552671645216253
Q9Y243,1.95356285279208
P16581,1.697073143109082
P04040,1.8428001901290645
O00626,1.6258976683683963
P48061.1,1.8877455046610339
P01009,1.9558400009703154
P00747,2.203372712294182
P62937,2.3904246721949156
P40925,1.6543766087417153
Q06830,1.564043930078967
P13671,2.4629136211950704
P00751,2.180580746949928
P02751,2.2158763907941874
P01127,1.5993362388038648
P03952,2.480765940233055
P08603,2.965040260065088
P02787,3.210204224782932
Q9NP79,1.5523076233829052
P14618,1.559209648589716
P29401,2.034674206142799
P02741,1.8946868827817247
P43652,1.9953131077625725
Q14624,2.1149087685560874
P01024.2,2.610895621030075
P01042,3.1312833462001226
P03956,1.6692967378652563
P00915,1.6882276394094187
P04179,1.5095743565997888
P00568,1.7717937011754554
P30041,1.97575052195232
P46531,1.5001990586195215
P30405,1.5181414747885744
P00734.2,3.129715601966695
P62993,1.6085755580507586
P05771,2.02362733177208
P13501,2.0108056210540486
Q08830,2.207121866941971
P05160,1.852930155152148
Q9H4F8,1.5615588157893763
Q9UKZ9,1.5219006814120797
P67936,1.828994617322027
P02753,1.803046093132552
P08567,2.32476631493668
P00738.1,2.63743960418503
P04278,1.9410686158236392
P19827,2.223447500819564
P06276,2.353801586197003
O95897,1.8630529958577458
Q14118,1.776339814897897
P08294,2.01225848295997
P01024.4,1.6021854312279897
P36955.1,2.609142044787413
P19823,2.569215406099308
Q15661,1.7623788971291996
