Protein,Cluster
P11473,1
P00491,2
P19878,3
Q08050,3
Q9NW38,1
P35520,4
P09104,2
Q8N2W9,1
Q13651,3
P10914,3
P40763,5
P05412,3
P84022,2
Q15796,2
P29460,3
P16234,3
P29459,6
Q9Y5C1,7
P16860,3
Q9H6B4,3
P09238,5
P04843,2
O15173,3
P32927,6
P09874,1
O00238,6
Q8N6K0,4
Q9HC56,5
Q6UX71,4
O14967,5
O60568,5
Q1W4C9,6
Q9BUP3,4
Q8TD46,6
Q9UJJ9,4
Q12846,3
P07988,6
O95168,4
P12821,3
P30740,2
P09603,6
P48058,3
Q8N6G5,6
P50454,4
Q9P109,3
O15031,5
O75871,1
Q13018,2
P05387,1
P01236,5
P02818,3
P05113,1
P21695,5
Q9Y5N5,5
O00206,6
P02452,3
Q14494,1
Q9NQ60,6
Q9NT68,5
Q92922,3
Q96TA2,4
P20823,1
Q15813,2
P51580,5
Q7Z5B4,3
O75460,3
Q15113,2
P10746,5
Q9NZR2,3
Q9UBS5,4
Q99259,1
P28906,4
P49902,5
Q6UXK5,4
Q99523,1
Q9Y3Z3,4
Q9H0M0,2
P15918,4
P49959,3
P42331,8
Q9NPI8,4
P51451,6
P37837,8
Q9H9Q4,1
Q9NQ66,2
Q9GZV4,5
P54819,8
Q99941,3
Q03426,5
Q14289,3
P16930,2
O00151,5
P25686,2
Q8IUC4,4
O14543,4
O43251,1
Q9Y4C8,3
O14791,7
P13987,5
P08397,7
Q9UP52,1
O43524,3
Q92576,4
Q92956,3
Q8N6T3,4
P68106,4
Q8IWI9,3
P20701,3
P29373,2
O60674,5
Q92508,1
P01133,1
P34931,1
Q13148,1
Q16828,3
P42224,8
Q96B67,4
Q13790,2
O15533,5
O95786,4
O43316,4
Q9H8S9,3
Q9H074,4
Q9HB71,2
Q969Q4,5
Q9NXV2,4
Q12830,3
Q9BRJ7,2
O75347,3
P29536,5
Q9Y3E7,2
Q8N668,3
Q86U86,3
Q13137,3
O75771,4
Q8TF42,8
Q13310,2
P20618,3
Q9Y6E0,8
Q9NR48,6
P08754,4
Q07866,5
Q9NTK5,2
Q9BY11,3
Q9NSB8,1
Q9UK32,5
O15143,2
Q8TEK3,6
P50990,8
Q9NRR5,2
O00287,3
O75534,4
Q9UKY1,1
Q9BYV9,3
Q86XI6,3
O15347,3
O95989,1
Q2Y0W8,6
Q9NZQ0,1
P14621,2
Q8NDI1,4
Q15849,3
Q86VK4,1
Q92974,4
Q9NZR1,1
Q99594,4
O75521,3
Q07869,3
O60504,6
Q9NUP9,6
Q99759,6
P46783,1
Q13976,3
P43220,4
Q16665,6
P06703,2
Q92843,1
O43915,2
Q9BQB4,3
P0DML2,4
P98172,4
Q7Z3B1,5
P41182,3
Q12841,8
P10451,4
P01130,6
P52789,5
P19367,5
Q00987,4
P56704,3
Q8N8Q1,5
Q9H2X0,5
Q03431,3
A8MVW0,3
Q01581,8
Q8TBE7,3
