Protein,Cluster
P55036,4
O00231,3
P09211,3
O00194,4
Q7Z6M1,1
P78347,1
Q9Y6K8,5
Q92793,3
O94973,6
O60763,4
P41182.1,1
Q9BQ69,4
O75116,4
Q96T60,4
Q9NRA1,1
P05112,5
Q06190,1
P22607,2
P08246,6
P07333,2
Q01344,4
P21695.1,3
P42701,5
Q14515,2
O60259,4
P00734,2
Q15485,6
Q16552,5
O96013,2
P24158,3
P02748,8
P22301,1
P53634,7
P29460.1,5
Q9GZX6,4
P80075,1
Q16851,1
O95363,4
O75899,1
O43432,4
Q9H4G0,7
P21815,3
Q8N474,3
P23560,2
Q99958,5
P01215,3
Q15080,1
Q86UL8,1
P02790,8
P35225,4
Q92484,5
P24592,8
P49771,4
Q99075,3
P26718,1
P01374,4
P26992,4
P01137,3
P35318,4
Q9H7M9,2
P01574,1
P52799,2
Q9UM44,1
P05161,3
O95396,4
O95644,4
P35243,5
Q9NY15,1
P55854,7
P22888,5
Q9UKS6,5
P35236,5
Q15828,6
P20160,5
P02788,1
P13598,2
Q9Y696,6
P02792,2
O60242,1
Q8N8U9,4
Q16832,1
P12104,4
P08637,4
P22466,1
P09488,1
P00338,6
P36952,1
Q99519,3
P58215,2
P00480,3
Q13519,5
P48594,4
Q02297,3
P27487,4
Q13526,2
O75882,4
Q16651,4
P0DJI8,2
P13716,7
P21757,7
P63098,2
P08236,3
P51911,3
P20963,5
P20023,2
O14594,3
P02774,6
P07203,3
Q92743,6
O94992,2
P08887,3
P08727,4
P23443,4
Q8N2Q7,4
P31749,7
Q9H3U7,3
Q03692,1
P12643,5
P12644,1
P15056,4
Q7Z5L3,1
P06401,2
P24298,3
P29353,2
Q9BXR6,8
P11717,2
O75791,4
Q9BXB1,4
Q9UK85,1
P37023,5
P17096,5
P51692,4
P50583,2
P11021,7
P15121,2
P06396,8
P13929,1
Q07108,5
O76074,6
Q9H5V8,3
O43819,1
Q13822,4
Q8N3J6,4
O15455,1
P05186,4
P30043,6
O15075,3
P55075,1
P10092,5
O75475,7
Q9NWT6,1
Q9HD40,5
Q96GG9,3
Q13541,4
P61086,6
P09601,3
Q6FHJ7,2
P00450,3
P20591,1
Q96CM8,4
Q9UMX1,4
Q9NTG7,4
P37108,4
P15529,4
P06727,6
Q86XR7,1
P22309,4
Q16890,5
P78540,5
P08134,7
P14598,1
O15205,4
O15305,7
Q9NVS9,4
O60551,4
P62316,1
Q14790,5
Q14790.1,1
P05062,3
P50440,2
Q9NRV9,6
Q8N6N6,1
Q8IX03,4
Q9H900,3
P13995,4
Q14194,5
P28070,1
Q9Y617,7
P02768,6
O43687,4
Q96Q83,1
P56377,4
Q9HBK9,5
P12830,1
P62380,1
Q13427,4
Q9NUU7,1
P83916,4
P45877,2
Q96EQ0,1
P01266,5
Q9UIV8,4
P49715,5
P02461,7
Q9H4D0,1
Q9UDY4,3
Q8IZP7,4
P28066,4
P25788,1
O94813,3
O75094,3
P28065,4
Q8N8N7,3
P35638,5
P13861,1
P50452,4
Q9UHV8,4
P41236,2
Q15777,1
P07093,7
O43586,1
O43427,4
Q7L9L4,7
O95630,3
P54578,6
Q06187,6
P36639,1
P55263,4
P61020,6
O95816,1
P53999,1
P61077,1
P06132,3
P11413,7
Q9UQB8,1
Q9Y3A3,4
P61978,2
Q92506,4
Q99497,7
Q99497.1,4
Q86Z14,4
O75096,3
P40933,4
P55075.1,5
P53567,5
P19235,5
O60496,6
P31371,1
Q96E17,6
Q92994,1
Q15700,3
P08476,7
P01270,5
P00813,3
P24864,3
Q96EB6,3
P01116,5
Q15907,7
Q969T4,4
P20827,3
P19320,2
O15527,5
Q86WK6,5
P14136,5
Q15560,1
P13591,6
P09871,7
P42229,3
Q9BX74,4
O00161,3
Q6GMV3,3
Q99828,3
Q9NXJ5,1
A6NKN8,1
O14645,5
Q9P2X3,3
P43121,3
Q13145,1
Q14126,6
Q92520,5
Q8NFY4,4
Q8WTV0,4
Q96AP7,3
P30988,4
Q86UN2,3
Q9P121,2
Q9UQ52,4
P43220.1,1
P09234,1
Q8TF65,4
P18846,1
Q9GZZ1,7
Q9ULC3,3
P62263,1
Q96LD8,1
Q9H9R9,3
Q14206,5
Q9BZL1,3
Q96G28,2
Q9NZL4,4
Q7Z5W3,2
Q8TBC4,5
Q13084,1
A2RUC4,3
Q9NS37,1
O00141,4
Q8WUK0,1
Q96B02,4
Q9NSI8,1
Q6ICB0,1
P50453,2
P50225,3
P62913,4
Q9BTZ2,4
Q6IN84,5
Q4VC05,1
Q8TD30,1
Q16612,5
Q96DH6,4
Q96F24,1
Q8TBN0,4
Q8TCS8,2
Q9H777,3
Q16819,3
O14917,4
P49815,1
Q16584,2
P47712,2
O00429,3
Q99717,2
Q9UL45,1
Q16853,6
P55210,1
Q86SG5,5
Q13451,3
Q14896,5
P56962,3
Q9BTM9,3
Q8IXL6,8
Q01064,5
O00308,1
P05120,3
P43146,7
P55290,4
P78509,2
Q495W5,1
O94782,5
Q92560,5
Q9HC62,5
Q92772,3
Q5JSQ8,3
P18615,1
P17081,2
P43308,5
Q712K3,7
Q9H8U3,4
Q8IUK8,4
P03951,2
P41226,6
Q9UBV4,1
P46379,2
P28845,2
P11215,5
P06858,3
P29474,1
Q9Y5A7,2
P80303,4
Q15165,3
P39060,7
O75569,1
Q9UQQ2,4
Q13163,6
Q6EEV6,4
Q12778,3
P30837,1
Q96L46,4
P18847,5
Q8WZ19,3
Q9UBR1,4
Q9Y2Z9,4
P00750,2
Q5T6F0,5
Q07687,1
Q9HB65,1
Q9Y2C4,1
Q9BZS1,4
Q06547,1
Q92551,4
Q9UKI8,1
O43248,3
O43679,1
Q92802,1
Q4G0N4,5
Q16236,1
Q8IWS0,1
P60510,4
Q14691,1
Q86SE5,1
P29558,4
Q9HCK4,3
O75581,1
P21912,4
Q9BSV6,4
P17947,4
Q9UGM6,4
Q96BN2,3
Q8NHR7,5
Q9BVW5,5
P13051,4
O14978,1
O60783,1
Q13043,2
P17676,4
O95166,2
P80098,5
P19875,6
O94992.1,1
P18065,6
Q96SI1,1
O14530,1
Q719H9,1
Q6UWP2,2
Q8NBZ0,5
Q9GZN7,5
Q6AI12,1
Q9UFW8,5
Q6IBS0,7
Q53HC0,3
A6NGB7,1
Q96AB6,3
Q9P2A4,5
Q14135,1
Q5VZV1,1
P35916,3
Q9UBU3,4
Q8N998,5
O60662,5
P17980,3
P31939,3
Q15008,3
Q9BUB5,4
P01031,6
Q7Z6L0,1
Q9BTK6,2
P49841,2
Q96BW5,1
P37231,4
Q14814,1
Q8N427,5
Q9UBL6,1
P0CG13,1
Q9H2A7,3
O15520,1
P11216,6
Q7KZF4,4
Q15276,3
Q86W54,1
O15327,4
P55075.2,4
Q8N1G2,5
A6XGL0,5
Q9UN36,4
Q9Y6X0,1
Q9UMY4,6
Q9H165,1
Q5TDP6,4
Q16799,3
P78556,5
Q9Y5W9,2
Q15041,7
P20042,2
P02743,8
P10721,7
P35625,6
P09327,7
Q15910,5
Q96KC8,4
P35712,1
P63010,2
O14920,4
Q08AM6,1
Q96I24,4
P48382,4
O75146,1
P55072,6
P23368,6
P29144,4
Q9C0B1,3
Q13228,1
Q9Y6H5,4
Q8IY22,3
Q9Y6A9,4
Q9BXU8,1
Q5R372,2
Q04637,3
Q9UDY8,5
P53667,3
Q13568,4
Q5VWP3,5
Q9UBB4,1
P01189,1
P05156,8
P17936,7
P41159,3
P14780,6
P05164,2
P01236.1,2
Q92993,3
Q9BWS9,1
Q01973,7
Q92608,4
P02794,3
O75197,4
Q8NEB9,1
Q16849,4
Q9H4A3,1
Q9BXJ3,3
P01033,6
P15692,2
P41273,5
P33681,4
O15394,3
P01034,3
Q9UJZ1,4
P52803,4
Q15303,5
P09758,1
P30519,1
P41236.1,1
Q08431,1
Q08334,4
P42701.1,1
P78552,4
P31785,3
Q6UX15,3
P36941,7
P22897,2
P07333.1,6
Q04912,4
P68402,3
P17252,6
P32942,4
Q03405,3
P19438,7
Q16288,3
Q02223,3
P07585,4
P06732,1
P00533,7
P08631,7
P14210,4
P10809,7
P01024,3
P24592.1,6
Q16674,3
P14555,3
P13725,3
P16284,3
P02776,6
P07225,2
P05543,8
Q9UNG2,4
P26992.1,3
Q12904,3
Q99062,4
P48788,2
Q9Y286,4
Q15465,1
Q9HC73,4
P02647,2
P20160.1,1
P43026,1
O95750,3
P08833,2
Q14005,7
Q96PD4,1
P16619,4
P08254,5
P09237,7
P00441,4
P04114,4
P36896,5
Q9Y2N7,1
Q15389,6
O00253,4
P33151,2
P78423,3
O43278,2
P14770,3
Q9Y5K2,1
P80188,5
P08581,2
O43291,1
P35590,2
O60488,3
P55008,7
P01031.1,2
P27361,7
P04150,1
Q9BY41,7
P52292,1
Q05655,5
P63000,6
P20226,1
P11387,1
P63279,7
P01011,8
P10643,8
P20273,4
P21741,4
P12004,5
O14788,1
P05121,7
Q7L2Z9,5
P02649,6
Q5T4W7,1
P99999,4
P08684,4
P00746,6
P10912,4
P05019,7
P04070,8
P12272,1
P15514,3
P18075,1
P35520.1,1
P16671,7
Q12860,6
P29279,4
Q02413,3
Q9UNE0,4
P42830,1
P09341,3
P01579,1
Q96F46,7
Q13449,4
P11226,1
P18031,4
Q9Y336,4
Q03167,6
Q969D9,1
P16410,5
P08697,2
P09038,3
P55773,6
Q9NNX6,4
Q9UHD0,2
P01584,4
O14625,3
P10147,1
P02144,4
P09486,6
P55774,8
P22102,5
P48023,1
P00738,6
P24394,5
P26718.1,1
P17931,2
P60568,3
O95998,2
P18428,6
P00742,2
Q99969,2
Q9HAV5,1
P28482,3
Q8NEV9,5
Q9NR28,3
P49767,1
P09429,6
P01589,1
P48061,3
P0CG47,1
P49368,3
Q9UNA0,1
P35475,4
P15848,4
Q02083,3
Q9UHI8,1
Q76LX8,7
P53634.1,1
P25774,7
P08709,8
P06681,2
P54108,5
P98073,1
Q96KP4,4
Q9HCN6,7
P10915,4
P14735,3
P04406,8
P22557,1
Q9NQ76,3
Q9NQ76.1,5
Q9NR71,4
P14543,3
P07093.1,3
P07949,4
P13686,2
Q76M96,3
P02750,5
Q15582,6
P21810,3
P00736,8
Q6YHK3,4
P06734,3
P09326,3
P0CG37,4
P49908,2
Q9NR61,1
P12318,4
P31994,4
O75015,2
P12314,1
P22830,5
P05546,2
O43464,2
Q13007,1
Q14114,4
Q9BY67,3
Q6NW40,4
Q6ZVN8,1
P10646,6
P35442,7
P35443,6
Q03154,3
P01008,8
Q96GD4,4
P13497,2
P49336,4
O96017,5
Q16610,6
Q9UGM5,7
P36969,3
Q9UPY5,4
P05154,8
P48736,3
Q9Y243,6
P53350,1
P00797,7
Q9UHD2,1
P10415,4
Q16548,1
Q9HCJ2,1
Q13557,2
P23946,4
P68400,1
P29320,5
P36888,4
P12544,3
Q13478,2
P10145,4
P06213,2
Q4G0M1,1
P09619,3
Q96GW7,4
P33908,5
P17612,7
P10586,4
P16581,6
O75716,3
O15392,4
P40238,1
P07996,3
P04629,4
P01019,2
P61769,3
P05230,5
O43927,4
P04040,6
P80162,3
P01563,5
P81172,1
O00626,7
Q01469,4
P48061.1,6
Q92583,4
P01282,5
P49190,1
Q4KMQ2,1
P29965,5
O94907,7
P20711,5
Q15848,3
P13500,1
O60609,3
P32970,1
P01009,6
P02765,3
Q14012,4
P42574,7
Q13231,1
Q9BXN2,1
P42892,4
O00602,2
P15586,4
Q04756,7
O95711,3
Q495T6,4
P36507,3
Q14982,3
P30533,2
Q9UIB8,2
P35968,2
P01023,7
P00747,6
P46527,1
P10082,1
P43489,1
P22004,1
P05113.1,4
P04070.1,1
P35354,1
Q02763,4
Q13443,4
Q9BY76,2
Q16790,1
P07451,4
P12277,1
Q9GZV9,1
P21802,1
Q04759,3
P60484,1
O60603,1
P43403,1
O00170,3
P62937,8
Q9NP97,3
O95571,4
P40925,7
Q06830,7
P24666,3
P60900,4
P07202,3
P68036,3
Q14974,7
Q9UK53,2
P20700,1
P07195,2
P18669,7
Q15109,3
P17213,3
P13671,8
P00751,6
P10767,1
P02751,6
P19883,1
Q9NYY1,1
P13232,5
P02778,1
P20783,1
P34130,1
P01127,6
P00747.1,3
P00747.2,7
P03952,8
P24821,2
P61812,1
P00734.1,4
P00749,4
P08603,8
P08253,7
P02787,8
P52209,7
O43488,7
P14550,3
P23528,4
Q9NP79,6
P08069,3
Q01638,3
P14618,6
Q9UNZ2,4
Q8IVD9,1
P27169,1
P30086,3
P62826,2
Q14498,1
P29401,6
P60174,7
Q9H773,2
P29350,3
Q9BXJ7,5
Q9BWV1,4
P02741,6
P05362,4
Q9UIK4,4
Q99988,7
Q07817,3
Q9BWP8,3
Q6UWV6,3
O75356,3
Q96P31,4
Q14515.1,2
P07951,3
P05155,2
P01024.1,3
P21781,4
Q01344.1,4
P20809,1
P39900,3
P04085,2
Q9Y240,3
Q10588,7
P45973,4
P10909,7
Q96DA6,1
Q9UHX3,4
Q9NZU1,4
Q16719,4
P06239,1
P19174,1
O60880,1
P01298,4
P05231,1
P04141,5
P14061,4
P08700,1
P23284,4
P30101,2
P43652,6
P08185,1
Q14624,6
O95881,4
P31947,3
P14151,2
P29317,4
P09919,1
P51654,1
P01583,1
P36894,5
Q13873,4
Q16620,3
P03950,3
P00742.1,2
P01308,5
P80098.1,1
P01275,1
P01024.2,8
Q14019,1
P17813,4
P01042,8
Q99731,1
P03956,6
O14944,4
O95994,1
P04083,7
P07355,1
P06576,4
Q07021,4
P00915,6
P00918,1
P46108,2
Q07507,4
Q01469.1,4
P22455,1
P07359,4
P15428,4
P04196,2
Q16539,3
P04179,7
P26038,4
P43490,4
P00568,6
O00299,6
P16333,1
Q13093,7
P30041,6
P09936,1
Q15181,3
P30566,3
Q86VB7,3
Q8IXJ6,2
P07478,3
P04818,1
Q9NZQ7,1
Q9BZW8,5
Q01151,5
Q01151.1,1
P08174,7
Q9UHF4,5
Q5VWK5,4
P16871,1
P78504,4
Q9Y219,1
Q14108,1
P46531,7
Q92823,1
Q9HDB5,3
P41217,4
Q96MS0,1
Q9NP84,1
Q02241,1
P04035,5
P30405,6
Q08499,1
P29597,3
P27797,1
P15498,2
P51671,2
P00734.2,8
P42081,1
P06702,3
Q92851,4
P16870,4
Q9Y625,4
P22626,4
P18510,3
Q8N0W4,1
Q99983,2
Q01105,7
Q96RJ3,1
P48357,4
P26842,3
Q9Y6Q6,1
P05413,7
P48788.1,3
Q13740,7
P54826,2
P62993,6
O60243,4
P05771,6
P13501,6
P20936,1
P31948,2
Q08629,4
P07339,3
P01133.1,4
Q9Y5U5,1
P11362,4
Q08830,6
P06127,7
Q8NBM8,4
P55081,5
P58499,4
Q9NS98,4
Q9UGN4,7
Q9NQ79,4
Q9H488,2
Q9NZC2,2
Q9Y2I2,4
Q8NBJ5,4
P05160,6
Q14116,4
P14314,2
P01375,1
Q9H4F8,7
P22105,7
Q92854,3
Q9Y6N7,2
Q13510,4
Q9BXP8,1
O95467,1
P02771,1
P55957,4
P01138,5
P01024.3,3
P13385,1
P01588,4
P39905,1
P15260,1
P15248,5
P42702,3
Q96KQ7,4
Q13253,3
P80511,2
P10636,5
P04075,3
P05089,4
Q92934,3
P24534,5
P63241,7
P07492,5
P11142,3
P15531,3
P50542,5
Q06323,1
O43508,1
P01270.1,1
P61278,1
O43557,4
P15907,1
Q9BS26,2
Q9NZK5,2
Q9UKZ9,7
P04637,3
Q9BRR6,4
Q16651.1,3
O43240,4
P42081.1,3
Q96SM3,3
Q8WWZ8,1
Q8NBI6,4
O75973,4
P55103,7
Q86XP6,5
Q7Z5L3.1,4
Q96MK3,4
Q86UW8,1
P40967,3
A6NGN9,3
Q9H2R5,4
P05305,1
Q9Y4K0,1
O15394.1,4
Q9UJA9,4
Q9Y6Z7,4
Q14435,1
P23352,4
Q96FE5,2
Q15063,2
P0CG48,3
P0CG47.1,7
P06307,1
O00469,4
Q13145.1,3
Q9HCN8,4
Q9ULW5,4
Q9BT88,1
Q8N807,1
Q96DB5,3
Q8N475,1
P06729,4
Q8IYS5,5
O75830,1
Q9HBE4,1
Q9UJ68,1
P08217,3
P15169,3
Q06033,4
Q8TDQ0,3
P05000,1
O14994,5
Q9ULH4,1
Q9H3T2,1
P14415,3
P20963.1,1
Q5T7V8,5
Q86WD7,4
Q96HD1,3
P67936,6
P36955,2
P18084,4
Q6UWE3,1
Q13162,4
O43916,4
O95249,4
P02753,6
Q16769,4
Q9H2K0,2
Q68D85,1
O00264,7
Q96KN2,2
P08567,8
P00738.1,8
P04278,6
P04745,3
Q92186,1
P09693,4
Q9P0K1,3
Q13291,4
P19827,6
Q8WXD2,3
Q9ULB5,2
O95727,4
Q9NXW2,4
Q9H819,1
A6NNA5,5
Q68G75,4
P40225,1
P07766,4
Q8N7P1,5
Q9Y287,4
P48740,5
Q8N5K1,1
Q9BUD6,2
P14174,3
P29323,4
P05060,1
Q6X4U4,5
P06276,6
Q14956,2
P0C7M8,1
P00995,4
O00548,3
P04004,3
O95897,6
P59901,4
O00300,2
Q9NWH9,1
P30048,2
P20333,7
Q14118,6
P07492.1,1
Q04721,3
P35222,1
P35222.1,4
Q9BXY4,1
P37840,2
P08294,6
O60930,5
Q12805,3
P41159.1,7
Q14145,1
P01024.4,6
Q6E0U4,4
P09668,2
O95866,1
Q504Y2,3
A6NI73,2
P02786,2
Q13145.2,4
P50591,1
O75121,1
Q8IUL8,4
P27986,1
Q9NXS2,3
P09874.1,1
Q92859,3
Q13586,7
Q14289.1,4
Q8N428,3
O75354,4
Q06413,1
Q6UVK1,1
P09919.1,4
Q96DZ1,3
Q6P179,4
Q9ULB1,4
P49746,2
Q9UHN6,1
Q86U17,7
O95631,1
Q16186,1
Q5VZ66,4
P55854.1,3
P50461,1
P22894,4
P58499.1,7
P04155,4
Q07325,1
P47929,3
O00182,4
P37802,3
P01189.1,1
P36955.1,8
O95954,3
O15031.1,2
P16471,4
Q71RG4,1
P11117,1
Q9P0M4,4
O75509,2
P48061.2,2
P16562,4
P16070,5
Q9Y680,4
P55001,1
P23468,3
O75144,1
P19823,8
Q30KP8,1
P14784,4
Q5T1H1,5
P21583,4
Q8N539,1
P10253,2
Q96PE7,3
Q15661,6
P43235,5
O14519,5
P07911,2
Q969J5,3
P25445,3
P51159,1
O95831,3
Q9NX94,1
Q96PZ7,1
P16083,4
Q8NFT8,1
Q4KMG9,4
Q9NVH1,4
Q9NPR2,4
Q9UPQ9,1
Q07960,1
P00374,4
P49789,4
P15559,4
P35222.2,1
P35609,4
Q99497.2,1
P51946,1
P15121.1,3
P61586,6
P21673,1
P19838,2
P26232,4
P11474,1
Q96FV9,4
P46109,3
Q13426,1
Q8TED9,5
O95271,1
O75899.1,5
Q7Z408,2
