Protein,Cluster
P11473,1
P00491,2
P19878,3
Q08050,2
Q9NW38,1
P35520,4
P09104,5
Q8N2W9,1
Q13651,3
P10914,4
P40763,2
P05412,4
P84022,2
Q15796,6
P29460,4
P16234,4
P29459,7
Q9Y5C1,8
P16860,3
Q9H6B4,4
P09238,3
P04843,2
O15173,4
P32927,7
P09874,1
O00238,1
Q8N6K0,1
Q9HC56,3
Q6UX71,1
O14967,5
O60568,5
Q1W4C9,7
Q9BUP3,4
Q8TD46,7
Q9UJJ9,4
Q12846,2
P07988,7
O95168,4
P12821,1
P30740,5
P09603,7
P48058,3
Q8N6G5,7
P50454,4
Q9P109,3
O15031,3
O75871,1
Q13018,3
P05387,1
P01236,3
P02818,4
P05113,1
P21695,4
Q9Y5N5,2
O00206,7
P02452,3
Q14494,1
Q9NQ60,7
Q9NT68,3
Q92922,4
Q96TA2,1
P20823,1
Q15813,6
P51580,3
Q7Z5B4,4
O75460,3
Q15113,3
P10746,2
Q9NZR2,4
Q9UBS5,1
Q99259,1
P28906,1
P49902,2
Q6UXK5,1
Q99523,1
Q9Y3Z3,4
Q9H0M0,2
P15918,1
P49959,4
P42331,6
Q9NPI8,1
P51451,7
P37837,8
Q9H9Q4,1
Q9NQ66,2
Q9GZV4,2
P54819,8
Q99941,3
Q03426,3
Q14289,2
P16930,5
O00151,2
P25686,5
Q8IUC4,1
O14543,1
O43251,1
Q9Y4C8,4
O14791,8
P13987,3
P08397,8
Q9UP52,1
O43524,4
Q92576,1
Q92956,3
Q8N6T3,4
P68106,4
Q8IWI9,3
P20701,4
P29373,5
O60674,2
Q92508,7
P01133,1
P34931,1
Q13148,1
Q16828,3
P42224,8
Q96B67,1
Q13790,5
O15533,2
O95786,1
O43316,1
Q9H8S9,2
Q9H074,4
Q9HB71,6
Q969Q4,2
Q9NXV2,1
Q12830,3
Q9BRJ7,6
O75347,4
P29536,3
Q9Y3E7,2
Q8N668,4
Q86U86,4
Q13137,3
O75771,4
Q8TF42,6
Q13310,6
P20618,3
Q9Y6E0,8
Q9NR48,7
P08754,4
Q07866,2
Q9NTK5,2
Q9BY11,2
Q9NSB8,4
Q9UK32,2
O15143,6
Q8TEK3,1
P50990,6
Q9NRR5,2
O00287,4
O75534,1
Q9UKY1,1
Q9BYV9,3
Q86XI6,4
O15347,3
O95989,1
Q2Y0W8,7
Q9NZQ0,1
P14621,6
Q8NDI1,4
Q15849,4
Q86VK4,1
Q92974,4
Q9NZR1,4
Q99594,1
O75521,2
Q07869,4
O60504,7
Q9NUP9,7
Q99759,7
P46783,1
Q13976,3
P43220,1
Q16665,7
P06703,3
Q92843,1
O43915,5
Q9BQB4,3
P0DML2,1
P98172,4
Q7Z3B1,3
P41182,4
Q12841,8
P10451,4
P01130,7
P52789,4
P19367,3
Q00987,1
P56704,3
Q8N8Q1,3
Q9H2X0,3
Q03431,4
A8MVW0,4
Q01581,8
Q8TBE7,4
