"contrast","estimate","SE","df","t.ratio","p.value","Protein"
"draw 1 - draw 5",271.608653846152,5115.3494502156,82,0.0530967935797043,0.999998157851263,"SARP.2"
"draw 2 - draw 3",21949.6049342105,5040.21395921258,82,4.35489546908832,0.000360941018502925,"SARP.2"
"draw 2 - draw 4",21515.0603508772,5130.60725534696,82,4.19347248387701,0.000645795661015192,"SARP.2"
"draw 2 - draw 5",21132.8198380567,5346.60690560144,82,3.95256659245262,0.00149773882935955,"SARP.2"
"draw 3 - draw 4",-434.544583333327,5338.59491564048,82,-0.0813968076244635,0.999989845178013,"SARP.2"
"draw 3 - draw 5",-816.785096153848,5546.50072277184,82,-0.147261334123772,0.999892005753079,"SARP.2"
"draw 4 - draw 5",-382.240512820522,5628.7693434432,82,-0.06790836317814,0.999995075482023,"SARP.2"
"draw 1 - draw 2",29.7188596491228,9.90168312898813,82,3.00139473885182,0.0285376599943107,"FOXC2"
"draw 1 - draw 3",42.7208333333334,10.4069052627718,82,4.10504681791973,0.000882831045438848,"FOXC2"
"draw 1 - draw 4",28.9883333333334,10.6130026021969,82,2.73139792949194,0.0578862969184508,"FOXC2"
"draw 1 - draw 5",16.923717948718,11.1040339925319,82,1.52410538008981,0.550008756983832,"FOXC2"
"draw 2 - draw 3",13.0019736842105,10.9409352532839,82,1.18837863338128,0.757985742705175,"FOXC2"
"draw 2 - draw 4",-0.730526315789464,11.137154542453,82,-0.0655936229496337,0.999995712710488,"FOXC2"
"draw 2 - draw 5",-12.7951417004049,11.6060311035059,82,-1.10245626487592,0.804768405495199,"FOXC2"
"draw 3 - draw 4",-13.7325,11.5886392498818,82,-1.1849967631135,0.759901691539529,"FOXC2"
"draw 3 - draw 5",-25.7971153846154,12.0399462763322,82,-2.14262711747533,0.212345863845327,"FOXC2"
"draw 4 - draw 5",-12.0646153846154,12.218529102265,82,-0.987403253177089,0.860261634686681,"FOXC2"
"draw 1 - draw 2",-603.095394736843,214.878917936159,82,-2.80667550139109,0.0478382480502332,"Glycoprotein.hormones.a.chain"
"draw 1 - draw 3",-1041.50625,225.842870630928,82,-4.61164103648871,0.000139197690265824,"Glycoprotein.hormones.a.chain"
"draw 1 - draw 4",-676.190833333334,230.315440870583,82,-2.93593356475519,0.034075644157493,"Glycoprotein.hormones.a.chain"
"draw 1 - draw 5",-738.729807692309,240.971436669818,82,-3.06563225045018,0.0238947106733358,"Glycoprotein.hormones.a.chain"
"draw 2 - draw 3",-438.410855263158,237.431989875792,82,-1.8464691952104,0.354503515204557,"Glycoprotein.hormones.a.chain"
"draw 2 - draw 4",-73.0954385964916,241.690194060435,82,-0.302434440423404,0.998142992125954,"Glycoprotein.hormones.a.chain"
"draw 2 - draw 5",-135.634412955466,251.865402332825,82,-0.538519430216275,0.983032633634607,"Glycoprotein.hormones.a.chain"
"draw 3 - draw 4",365.315416666666,251.487977339623,82,1.45261582892022,0.595837151221415,"Glycoprotein.hormones.a.chain"
"draw 3 - draw 5",302.776442307692,261.281904719174,82,1.15881137131603,0.774540010175456,"Glycoprotein.hormones.a.chain"
"draw 4 - draw 5",-62.5389743589744,265.15737557585,82,-0.235856061794082,0.999301052899578,"Glycoprotein.hormones.a.chain"
"draw 1 - draw 2",110.262938596491,51.0253254539193,82,2.16094532696453,0.205048237823927,"CNTFR.alpha"
"draw 1 - draw 3",75.2333333333333,53.6288347226983,82,1.40285228501322,0.627608496272651,"CNTFR.alpha"
"draw 1 - draw 4",-57.6791666666667,54.6908949484562,82,-1.0546392908916,0.82890916389799,"CNTFR.alpha"
"draw 1 - draw 5",-106.702243589744,57.2212765182904,82,-1.86473022068351,0.344491448156274,"CNTFR.alpha"
"draw 2 - draw 3",-35.0296052631579,56.3807965571725,82,-0.621303837515605,0.97127689460878,"CNTFR.alpha"
"draw 2 - draw 4",-167.942105263158,57.3919532423306,82,-2.92623086992775,0.0349723445960211,"CNTFR.alpha"
"draw 2 - draw 5",-216.965182186235,59.8081666086617,82,-3.62768488801683,0.00440338088027847,"CNTFR.alpha"
"draw 3 - draw 4",-132.9125,59.7185429578282,82,-2.2256487418633,0.180687617272084,"CNTFR.alpha"
"draw 3 - draw 5",-181.935576923077,62.0442170482112,82,-2.93235349850099,0.0344041237699579,"CNTFR.alpha"
"draw 4 - draw 5",-49.0230769230768,62.964489560975,82,-0.778582932457552,0.936100834704096,"CNTFR.alpha"
"draw 1 - draw 2",-392.67302631579,184.3745096506,82,-2.12975767127422,0.217579192692198,"TGF.b1"
"draw 1 - draw 3",-735.2,193.782009564255,82,-3.79395384356472,0.00255716011408824,"TGF.b1"
"draw 1 - draw 4",-619.535833333334,197.619649630272,82,-3.13499105221787,0.0196504714000085,"TGF.b1"
"draw 1 - draw 5",-489.739423076924,206.762910491752,82,-2.36860383669469,0.134474134714816,"TGF.b1"
"draw 2 - draw 3",-342.526973684211,203.725926811124,82,-1.6813126294022,0.451071024764815,"TGF.b1"
"draw 2 - draw 4",-226.862807017544,207.379632423924,82,-1.09394931587974,0.80916889593891,"TGF.b1"
"draw 2 - draw 5",-97.066396761135,216.110358796867,82,-0.449151985594418,0.991434922584889,"TGF.b1"
"draw 3 - draw 4",115.664166666667,215.786513401889,82,0.536012028014232,0.983325032541272,"TGF.b1"
"draw 3 - draw 5",245.460576923076,224.190085867266,82,1.0948770369284,0.808691169467227,"TGF.b1"
"draw 4 - draw 5",129.796410256409,227.515391326395,82,0.570495075079128,0.978987101935628,"TGF.b1"
"draw 1 - draw 2",-255.791666666667,62.9686719858208,82,-4.06220519823359,0.00102558384414553,"MOCS3"
"draw 1 - draw 3",-359.335416666667,66.181576944278,82,-5.42953844948741,5.5214211829302e-06,"MOCS3"
"draw 1 - draw 4",-272.318333333334,67.4922304558432,82,-4.03481010323844,0.00112811603343765,"MOCS3"
"draw 1 - draw 5",-255.891666666667,70.6148909318405,82,-3.62376353329867,0.00445919369351089,"MOCS3"
"draw 2 - draw 3",-103.54375,69.5776823200095,82,-1.48817475011269,0.57303969927109,"MOCS3"
"draw 2 - draw 4",-16.5266666666667,70.8255174502624,82,-0.233343394607355,0.999329980356503,"MOCS3"
"draw 2 - draw 5",-0.100000000000239,73.8072867101109,82,-0.0013548797748521,0.999999999999274,"MOCS3"
"draw 3 - draw 4",87.0170833333333,73.6966851172488,82,1.18074623295325,0.762301701882203,"MOCS3"
"draw 3 - draw 5",103.44375,76.5667228414669,82,1.35102752424421,0.660328513785734,"MOCS3"
"draw 4 - draw 5",16.4266666666665,77.7024008107553,82,0.211404879325077,0.999546444733491,"MOCS3"
"draw 1 - draw 2",-221.152631578948,540.451148286746,82,-0.409200040151661,0.994001131756839,"sICAM.2"
"draw 1 - draw 3",-990.625000000001,568.027054199537,82,-1.74397503195686,0.413273236555398,"sICAM.2"
"draw 1 - draw 4",-1590.76666666667,579.276206722413,82,-2.74612809607241,0.0557893294688848,"sICAM.2"
"draw 1 - draw 5",-2086.54615384615,606.077557088234,82,-3.44270486416047,0.00788446666322706,"sICAM.2"
"draw 2 - draw 3",-769.472368421054,597.175343215862,82,-1.28851999192959,0.698962062229482,"sICAM.2"
"draw 2 - draw 4",-1369.61403508772,607.885334513909,82,-2.25307958150187,0.171019322354565,"sICAM.2"
"draw 2 - draw 5",-1865.39352226721,633.47743562689,82,-2.94468818833494,0.0332839840069986,"sICAM.2"
"draw 3 - draw 4",-600.141666666667,632.5281578991,82,-0.948798340709444,0.876798203051736,"sICAM.2"
"draw 3 - draw 5",-1095.92115384615,657.161283146353,82,-1.66765934322714,0.459462169749949,"sICAM.2"
"draw 4 - draw 5",-495.779487179487,666.908645497017,82,-0.743399400393145,0.945554383256999,"sICAM.2"
"draw 1 - draw 2",11302.4449561404,6271.28652025881,82,1.80225300177705,0.379342651034489,"LDHA"
"draw 1 - draw 3",17515.8291666667,6591.2717910516,82,2.65742784123185,0.0694573125669405,"LDHA"
"draw 1 - draw 4",25011.8825,6721.80469639316,82,3.72100702560149,0.0032529920624168,"LDHA"
"draw 1 - draw 5",25679.2137820513,7032.802180267,82,3.65134879722671,0.00408018936706744,"LDHA"
"draw 2 - draw 3",6213.38421052632,6929.50267940509,82,0.896656585326518,0.897352214154507,"LDHA"
"draw 2 - draw 4",13709.4375438597,7053.77926623898,82,1.94355919378938,0.303043950222239,"LDHA"
"draw 2 - draw 5",14376.768825911,7350.74486478329,82,1.9558247620304,0.296864858991561,"LDHA"
"draw 3 - draw 4",7496.05333333334,7339.72963678879,82,1.02129829084726,0.84485014025539,"LDHA"
"draw 3 - draw 5",8163.38461538462,7625.56747209483,82,1.07052814695534,0.821050180883743,"LDHA"
"draw 4 - draw 5",667.331282051284,7738.67390606499,82,0.0862332862389097,0.999987212950285,"LDHA"
"draw 1 - draw 2",-1279.50592105263,501.488878333044,82,-2.55141435101358,0.0893714198918626,"NEUR1"
"draw 1 - draw 3",838.49375,527.076778680858,82,1.5908379650087,0.50749570089226,"NEUR1"
"draw 1 - draw 4",302.9225,537.514955931065,82,0.563561063106213,0.97991527981285,"NEUR1"
"draw 1 - draw 5",-215.8375,562.384140084662,82,-0.38379016159223,0.995312680519615,"NEUR1"
"draw 2 - draw 3",2117.99967105263,554.123705698152,82,3.82225060807337,0.00232708242534141,"NEUR1"
"draw 2 - draw 4",1582.42842105263,564.061591000164,82,2.80541778823613,0.0479929105534829,"NEUR1"
"draw 2 - draw 5",1063.66842105263,587.80870324522,82,1.80954860855283,0.375187962055928,"NEUR1"
"draw 3 - draw 4",-535.57125,586.927860962906,82,-0.912499279078946,0.89132719032524,"NEUR1"
"draw 3 - draw 5",-1054.33125,609.785131947051,82,-1.72902092026007,0.422178777603517,"NEUR1"
"draw 4 - draw 5",-518.76,618.829786264904,82,-0.83829190435564,0.917866177964215,"NEUR1"
"draw 1 - draw 2",-1.50877192982459,16.1669711139409,82,-0.0933243412876247,0.999982470081497,"PNOC"
"draw 1 - draw 3",-20.0166666666667,16.9918724500674,82,-1.17801417857202,0.763839532007902,"PNOC"
"draw 1 - draw 4",-22.7733333333334,17.3283778390746,82,-1.31422188186482,0.683210455782372,"PNOC"
"draw 1 - draw 5",-70.7282051282051,18.130109241723,82,-3.90114610922684,0.00178440347014663,"PNOC"
"draw 2 - draw 3",-18.5078947368421,17.8638098084051,82,-1.03605529477446,0.837888065112302,"PNOC"
"draw 2 - draw 4",-21.2645614035088,18.184186812867,82,-1.16939853414078,0.768664213329054,"PNOC"
"draw 2 - draw 5",-69.2194331983806,18.9497449225133,82,-3.65278970674397,0.00406124488639004,"PNOC"
"draw 3 - draw 4",-2.75666666666667,18.9213483770477,82,-0.145690815037823,0.999896516288863,"PNOC"
"draw 3 - draw 5",-50.7115384615384,19.6582198326471,82,-2.57966076751874,0.083654656729724,"PNOC"
"draw 4 - draw 5",-47.9548717948718,19.9498009053488,82,-2.40377696110313,0.12463641736285,"PNOC"
"draw 1 - draw 2",-1208.65328947368,279.548768750413,82,-4.32358652437062,0.000404493022688523,"SMDF"
"draw 1 - draw 3",-679.925,293.812427120897,82,-2.31414650041411,0.150875391439951,"SMDF"
"draw 1 - draw 4",-969.677500000001,299.631059845103,82,-3.23623826081743,0.0146682280489981,"SMDF"
"draw 1 - draw 5",-871.56826923077,313.494078768024,82,-2.78017458146539,0.0511895171426663,"SMDF"
"draw 2 - draw 3",528.728289473685,308.889401851223,82,1.71170744708278,0.432582336343476,"SMDF"
"draw 2 - draw 4",238.975789473684,314.429153020571,82,0.760030637038448,0.941203739320488,"SMDF"
"draw 2 - draw 5",337.085020242915,327.666686844949,82,1.02874364033968,0.841356360094852,"SMDF"
"draw 3 - draw 4",-289.7525,327.175672216065,82,-0.885617497283384,0.901435679915234,"SMDF"
"draw 3 - draw 5",-191.643269230769,339.917175042313,82,-0.563794016018501,0.979884562827562,"SMDF"
"draw 4 - draw 5",98.109230769231,344.959005654257,82,0.284408376534931,0.998540213263879,"SMDF"
"draw 1 - draw 2",162.072368421053,46.0507019764328,82,3.51943317832583,0.00621017721934713,"Attractin"
"draw 1 - draw 3",143.4875,48.4003867332248,82,2.96459408043329,0.0315439684201355,"Attractin"
"draw 1 - draw 4",44.045,49.3589032836301,82,0.892341544683541,0.898959636570019,"Attractin"
"draw 1 - draw 5",21.5942307692309,51.6425897966016,82,0.418147712077987,0.993482273076871,"Attractin"
"draw 2 - draw 3",-18.5848684210527,50.8840509364907,82,-0.365239560903844,0.996129413810493,"Attractin"
"draw 2 - draw 4",-118.027368421053,51.7966266965756,82,-2.27866901666119,0.162348550014981,"Attractin"
"draw 2 - draw 5",-140.478137651822,53.9772756322669,82,-2.60254219958901,0.0792477637112226,"Attractin"
"draw 3 - draw 4",-99.4425,53.896389680088,82,-1.84506792737434,0.35527788983074,"Attractin"
"draw 3 - draw 5",-121.893269230769,55.9953263057302,82,-2.17684719909018,0.198857178419604,"Attractin"
"draw 4 - draw 5",-22.4507692307691,56.8258784843862,82,-0.395080020398414,0.994758617996578,"Attractin"
"draw 1 - draw 2",-88649.5480263158,11840.3727818541,82,-7.48705717797795,7.81441689134965e-10,"SAA"
"draw 1 - draw 3",21433.8125,12444.5143529098,82,1.7223502574842,0.426175598229135,"SAA"
"draw 1 - draw 4",22698.1225,12690.9643045345,82,1.78852622663906,0.387217743987415,"SAA"
"draw 1 - draw 5",18955.5240384616,13278.1366704262,82,1.42757410237239,0.611854763548319,"SAA"
"draw 2 - draw 3",110083.360526316,13083.1041847578,82,8.41416218748498,7.59193818922199e-11,"SAA"
"draw 2 - draw 4",111347.670526316,13317.7420236472,82,8.36085203697481,7.88255016814787e-11,"SAA"
"draw 2 - draw 5",107605.072064777,13878.421778717,82,7.7534084048226,2.7957425263736e-10,"SAA"
"draw 3 - draw 4",1264.31000000003,13857.6247053716,82,0.091235693481434,0.999983984476173,"SAA"
"draw 3 - draw 5",-2478.28846153846,14397.2949172569,82,-0.172135701587104,0.999799162554018,"SAA"
"draw 4 - draw 5",-3742.59846153848,14610.8431801064,82,-0.256152120408373,0.999032308404695,"SAA"
"draw 1 - draw 2",-9924.15833333334,2236.33959636806,82,-4.43767947830942,0.000266417880400271,"HTRA1"
"draw 1 - draw 3",578.897916666671,2350.44628389013,82,0.246292766031037,0.999170915574094,"HTRA1"
"draw 1 - draw 4",602.008333333335,2396.99429344148,82,0.251151341903699,0.999104587239992,"HTRA1"
"draw 1 - draw 5",-608.681410256403,2507.89593783473,82,-0.242706007483679,0.999217498747586,"HTRA1"
"draw 2 - draw 3",10503.05625,2471.05935521069,82,4.2504265338072,0.000526797600852169,"HTRA1"
"draw 2 - draw 4",10526.1666666667,2515.37636275615,82,4.18472830647614,0.000666203222128403,"HTRA1"
"draw 2 - draw 5",9315.47692307693,2621.27423947386,82,3.55379715055939,0.00557296643402172,"HTRA1"
"draw 3 - draw 4",23.1104166666646,2617.34621123794,82,0.00882971330557525,0.999999998589354,"HTRA1"
"draw 3 - draw 5",-1187.57932692307,2719.27592967291,82,-0.436726304220963,0.992303486489018,"HTRA1"
"draw 4 - draw 5",-1210.68974358974,2759.60966280317,82,-0.438717750524159,0.99216871108292,"HTRA1"
"draw 1 - draw 2",21.0298245614034,100.301888369619,82,0.209665290486928,0.999561033455115,"NA."
"draw 1 - draw 3",-260.658333333334,105.419678285181,82,-2.4725775829841,0.107032500207932,"NA."
"draw 1 - draw 4",-329.006666666667,107.507399338562,82,-3.06031648696626,0.0242515800065275,"NA."
"draw 1 - draw 5",-264.825641025642,112.4814401211,82,-2.35439411818097,0.138614939361935,"NA."
"draw 2 - draw 3",-281.688157894737,110.829285500095,82,-2.54164011455704,0.0914226335536138,"NA."
"draw 2 - draw 4",-350.03649122807,112.816944060951,82,-3.10269431725574,0.0215343774493093,"NA."
