userId	geneSymbol	geneName	entrezgene	score	gLink
10584	COLEC10	collectin subfamily member 10	10584	-0.401093017156708	https://www.ncbi.nlm.nih.gov/gene/?term=10584
10605	PAIP1	poly(A) binding protein interacting protein 1	10605	-1.63660451058575	https://www.ncbi.nlm.nih.gov/gene/?term=10605
10614	HEXIM1	HEXIM P-TEFb complex subunit 1	10614	1.98398305698906	https://www.ncbi.nlm.nih.gov/gene/?term=10614
10617	STAMBP	STAM binding protein	10617	1.02388398881366	https://www.ncbi.nlm.nih.gov/gene/?term=10617
10631	POSTN	periostin	10631	-6.70189691186257	https://www.ncbi.nlm.nih.gov/gene/?term=10631
10653	SPINT2	serine peptidase inhibitor, Kunitz type 2	10653	-1.37458421414948	https://www.ncbi.nlm.nih.gov/gene/?term=10653
10667	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	10667	-1.90291859048407	https://www.ncbi.nlm.nih.gov/gene/?term=10667
10694	CCT8	chaperonin containing TCP1 subunit 8	10694	0.72984806698794	https://www.ncbi.nlm.nih.gov/gene/?term=10694
1072	CFL1	cofilin 1	1072	-0.590690140468215	https://www.ncbi.nlm.nih.gov/gene/?term=1072
10730	YME1L1	YME1 like 1 ATPase	10730	0.846190355057398	https://www.ncbi.nlm.nih.gov/gene/?term=10730
1075	CTSC	cathepsin C	1075	-3.70685358050032	https://www.ncbi.nlm.nih.gov/gene/?term=1075
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	10797	0.314576463660042	https://www.ncbi.nlm.nih.gov/gene/?term=10797
1081	CGA	glycoprotein hormones, alpha polypeptide	1081	-3.67166995547968	https://www.ncbi.nlm.nih.gov/gene/?term=1081
10841	FTCD	formimidoyltransferase cyclodeaminase	10841	0.0640752450909187	https://www.ncbi.nlm.nih.gov/gene/?term=10841
10857	PGRMC1	progesterone receptor membrane component 1	10857	-1.8572465799879	https://www.ncbi.nlm.nih.gov/gene/?term=10857
10882	C1QL1	complement C1q like 1	10882	-0.620404036428132	https://www.ncbi.nlm.nih.gov/gene/?term=10882
1089	CEACAM4	carcinoembryonic antigen related cell adhesion molecule 4	1089	-1.29450007310188	https://www.ncbi.nlm.nih.gov/gene/?term=1089
10892	MALT1	MALT1 paracaspase	10892	0.0733559888534581	https://www.ncbi.nlm.nih.gov/gene/?term=10892
10901	DHRS4	dehydrogenase/reductase 4	10901	-1.62037772578335	https://www.ncbi.nlm.nih.gov/gene/?term=10901
10913	EDAR	ectodysplasin A receptor	10913	2.03035439917528	https://www.ncbi.nlm.nih.gov/gene/?term=10913
10919	EHMT2	euchromatic histone lysine methyltransferase 2	10919	-0.339866877766673	https://www.ncbi.nlm.nih.gov/gene/?term=10919
10923	SUB1	SUB1 homolog, transcriptional regulator	10923	2.9928784204229	https://www.ncbi.nlm.nih.gov/gene/?term=10923
10924	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A	10924	0.610100087417747	https://www.ncbi.nlm.nih.gov/gene/?term=10924
10935	PRDX3	peroxiredoxin 3	10935	-0.127341466492403	https://www.ncbi.nlm.nih.gov/gene/?term=10935
10951	CBX1	chromobox 1	10951	1.19847577944961	https://www.ncbi.nlm.nih.gov/gene/?term=10951
10963	STIP1	stress induced phosphoprotein 1	10963	0.0675504813415093	https://www.ncbi.nlm.nih.gov/gene/?term=10963
11009	IL24	interleukin 24	11009	-0.0519359827568028	https://www.ncbi.nlm.nih.gov/gene/?term=11009
11047	ADRM1	adhesion regulating molecule 1	11047	-0.262290875553481	https://www.ncbi.nlm.nih.gov/gene/?term=11047
11059	WWP1	WW domain containing E3 ubiquitin protein ligase 1	11059	1.4321046305474	https://www.ncbi.nlm.nih.gov/gene/?term=11059
11060	WWP2	WW domain containing E3 ubiquitin protein ligase 2	11060	0.6641884083454	https://www.ncbi.nlm.nih.gov/gene/?term=11060
11080	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	11080	0.895329115078189	https://www.ncbi.nlm.nih.gov/gene/?term=11080
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	11093	-0.769738916502832	https://www.ncbi.nlm.nih.gov/gene/?term=11093
