"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","10/63","110/9447",0.0909090909090909,13.6320346320346,10.9185814111294,2.31049411025538e-09,4.75961786712609e-07,4.03728444528835e-07,"2027/7018/3939/3162/2056/3569/7037/7076/5605/817",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","12/63","298/9447",0.0402684563758389,6.03835091083413,7.24119054995561,4.91675298659232e-07,5.06425557619009e-05,4.29568945144382e-05,"9173/6367/6387/2056/3593/3569/1439/246778/6363/8200/1271/3560",12
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","8/63","168/9447",0.0476190476190476,7.140589569161,6.57982540550561,1.42680451489398e-05,0.000979739100227202,0.000831051050780355,"2056/3593/3569/1439/246778/116379/1271/3560",8
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","8/63","233/9447",0.0343347639484979,5.14857960351523,5.25355798629389,0.000145958299840588,0.00684939404898638,0.00580991012841972,"88/7136/7059/1158/7060/2027/1277/8048",8
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","4/63","42/9447",0.0952380952380952,14.281179138322,7.06776540083543,0.000166247428373456,0.00684939404898638,0.00580991012841972,"7018/3162/7037/2512",4
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/63","50/9447",0.08,11.9961904761905,6.38752905500978,0.000328688772933371,0.0112849812040457,0.00957233970297186,"7059/7060/3082/3569",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","5/63","100/9447",0.05,7.49761904761905,5.35202791217049,0.000519594900881956,0.0152909356545261,0.0129703388791586,"6367/6387/3569/6363/3560",5
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","9/63","362/9447",0.0248618784530387,3.72809786898185,4.33662642242527,0.000611408305042524,0.015743763854845,0.0133544445575078,"7059/7060/1277/3082/2056/3569/1388/5605/3560",9
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/63","37/9447",0.0810810810810811,12.1583011583012,5.57191361672177,0.00186849306694142,0.0427677301988813,0.036277175334769,"3827/3593/3569",3
