Protein,MeanZ
Q9Y5C1,2.3266619993308675
P54819,1.9307586773211247
O14791,2.1891441978692745
P08397,2.1049405702288766
P42224,1.8010091153981926
Q8TF42,1.5613726789457671
Q9Y6E0,1.714159967092996
P50990,1.5997121049213288
Q12841,1.6790966701520755
O94973,1.850019920188443
P08246,2.07148271805351
Q15485,1.78274104289077
P02748,2.536660956465288
P02790,3.1498154044511466
P24592,2.525363209816923
Q15828,1.8924243416287936
P00338,1.995519781531849
P02774,1.649234885550394
Q92743,1.5320073194680524
Q9BXR6,2.5716687652498327
P06396,2.7353612779216196
O76074,1.8251165477785036
P30043,2.5513473239190767
O75475,1.5032034073220044
P61086,1.9592860802254688
P06727,2.0601647815181483
Q9NRV9,2.144769078778921
P02768,2.0162996564936586
P54578,2.0707169751059795
Q06187,1.8483121422478477
P61020,1.558361957908288
Q99497,1.5209260484080875
O60496,1.6258292942211783
P13591,1.927029207900023
Q14126,2.23460099834233
Q16853,1.883921405567995
Q8IXL6,2.3706619077630315
P41226,1.7503649598355473
Q13163,1.6880863049291168
P19875,1.6710698542041282
P18065,2.056107042158881
P01031,2.1111274845487693
P11216,1.6140054470343281
P02743,2.4853993683689084
P35625,1.6267043638757002
P55072,1.9807852211811763
P23368,1.9875036012240577
P05156,2.517898274783101
P14780,1.7056255340511246
P01033,2.0075954427247824
P07333.1,2.0501015460919385
P24592.1,1.755781005490925
P02776,2.151087315869974
P05543,2.4823406111696684
Q15389,1.5560338112695653
P63279,1.5186291676269954
P01011,3.318151325596086
P10643,2.5355652705263614
P02649,2.366468744901677
P00746,1.7992734014156953
P04070,2.458407329290312
Q12860,1.8656434331590257
Q03167,1.747639821066252
P55773,1.8486405814640041
P09486,2.190246132502041
P55774,2.399866387845479
P00738,2.316625093536355
P18428,2.0450381548996486
P09429,1.720735056529596
Q76LX8,1.5462897482986022
P08709,2.53283331165357
P04406,2.7499321809219888
Q15582,2.0623221124006905
P00736,2.575173384867331
P10646,1.9487769616149129
P35443,1.8020085264366383
P01008,2.9387770287354926
Q16610,2.2948812986443925
P05154,2.448853090848193
Q9Y243,1.940337226570714
P16581,1.5880450676258289
P04040,1.8723666805553898
O00626,1.704827871112253
P48061.1,1.8789081421529286
P01009,1.853098794448609
P00747,2.146267524191568
P62937,2.3463256201422467
P40925,1.7483606858585807
Q06830,1.7179454373395768
P13671,2.4525673585786936
P00751,2.1859069323691087
P02751,2.2710092160663122
P01127,1.6419660115842392
P03952,2.4485040451036153
P08603,2.976747387496378
P02787,3.194872672553963
Q9NP79,1.6419477088482233
P14618,1.5066805515507282
P29401,2.0967830432714227
P02741,2.0429445516143803
P43652,1.976373191616164
Q14624,2.1288676507962268
P01024.2,2.567392907814782
P01042,3.103288059710095
P03956,1.5872282378790497
P00915,1.7822090265164618
P04179,1.5021709557563574
P00568,1.8938517892133166
P30041,2.077527241214521
P00734.2,3.1007485904375858
P62993,1.5586138923545154
P05771,1.9446757056384525
P13501,2.0605623072010206
Q08830,2.178656717100961
P05160,1.757353523659307
Q9H4F8,1.505936114072682
P67936,1.7068299463985852
P02753,1.8043396548421717
P08567,2.2290858572262784
P00738.1,2.610766156112777
P04278,1.8291197524141525
P19827,2.218656021514041
P06276,2.2660621853765863
O95897,1.7847365528587613
Q14118,1.6939991673633858
P08294,1.9346869846421768
P01024.4,1.6343187331533162
P36955.1,2.598112555971362
P19823,2.57448495979278
Q15661,1.6945985803195194
