Protein,MeanZ
Q9Y5C1,2.391622791947391
P37837,1.5062469886357475
P54819,2.0529645830665597
O14791,2.0922104464043714
P08397,1.9719601918254785
P42224,1.903605168218937
Q8TF42,1.7139792698332408
Q9Y6E0,1.8674499601609706
P50990,1.5675320652386397
Q12841,1.674713625278693
O94973,1.7774473020971782
P08246,2.2840112375142536
Q15485,1.779165191913017
P02748,2.6927338229595907
P02790,3.1274488434250394
P24592,2.4497339320135176
Q15828,1.8541936233643197
Q9Y696,1.5928776430418816
P00338,2.1098181032502477
P0DJI8,2.6983207782305287
P02774,1.587175219575405
Q92743,1.8089731198134626
Q9BXR6,2.6299499027064446
P06396,2.590062384106346
O76074,2.043920134804959
P30043,2.350081131187039
O75475,1.5612711905045709
P61086,1.9348331667509737
P06727,1.7801760833827502
Q9NRV9,1.9725402823407054
P02768,1.9877155883666562
P54578,1.9285113579793363
Q06187,2.008112961061423
P61020,1.607930584396533
Q99497,1.5496339194072357
O60496,1.7877589426332772
Q96E17,1.514435273975416
P13591,1.8080562348535945
Q14126,2.1265383858106657
Q16853,1.7419090024665573
Q8IXL6,2.4334498066579453
P41226,1.8201016076961938
Q13163,1.929339767592932
P19875,1.5461888236933357
P18065,2.2530159250760753
P01031,2.08614084050876
P11216,1.7213993295172392
Q9UMY4,1.5409015270289077
P02743,2.4159070047716007
P55072,1.8733925443683033
P23368,2.1677114994603555
P05156,2.4836408785330777
P14780,1.6701456450012868
P01033,2.117602039077335
P07333.1,1.7545039353252188
P24592.1,1.6936212607164587
P02776,1.823202746389877
P05543,2.4442361894903115
P48788,1.5596370816818377
P63279,1.5612543980968574
P01011,3.3578495830241533
P10643,2.49344701236908
P02649,2.3572873168232955
P00746,1.662664561404129
P04070,2.3670765600695614
Q12860,1.6423029535069604
Q03167,1.7050803401523165
P55773,2.055137768663714
P09486,1.9773682979009182
P55774,2.3529784036688755
P00738,2.251023013949089
P18428,2.4201817319249983
P09429,1.7004555840231061
P08709,2.3671479457715012
P04406,2.744338968749253
Q15582,1.966803599492894
P00736,2.7007859378747643
P10646,1.987700148686982
P01008,2.934003007579165
Q16610,2.0321894072968556
P05154,2.0430857961515096
Q9Y243,1.9960561611108574
P16581,1.5462353036530239
P04040,1.7874384057838049
P48061.1,1.72265482925916
P01009,2.0500823468291696
P00747,1.9617600368937234
P62937,2.3789309819777733
P40925,1.791185252053863
Q06830,1.6548131978240792
P13671,2.4960389560191443
P00751,2.2178637059785626
P02751,1.8271072761261244
P03952,2.2791752208674914
P08603,2.8858749259205876
P02787,3.194224395591439
Q9NP79,1.642751852273789
P14618,1.61031140595422
P29401,2.141849890141096
P02741,2.5503874668039725
Q99988,1.7656458766763512
P43652,1.8866859292776772
Q14624,2.1673215241523356
P01024.2,2.526744962101176
P01042,3.076784450106887
P03956,1.5644343316091525
P00915,1.591550708906411
P00568,1.7285205226257674
P30041,1.9614306129192594
P30405,1.578165712337722
P00734.2,3.0593125856565857
P62993,1.6935973043607901
P05771,2.061667623344255
P13501,1.764686934687696
Q08830,2.93814110772709
P05160,1.6291105851044476
Q9H4F8,1.9280171301798714
P67936,1.8645376925022046
P02753,1.5805549284848968
P08567,2.374095896423631
P00738.1,2.489094383031949
P04278,1.8623666905072294
P19827,2.193786644174826
P06276,2.0119152712512403
O95897,1.5071901440138797
Q14118,1.7621143498024006
P08294,1.9602059679115165
P01024.4,1.5722049243818512
Q86U17,1.5639297352549517
P36955.1,2.5948854237060015
P19823,2.5082829281704226
Q15661,1.5433515884123574
