"","SubjectID","SampleId","Timepoint","Protein","Expression"
"1","01016","01016D5","D5","P11473",8.77741971551583
"2","01016","01016D5","D5","P00491",12.3193051917476
"3","01016","01016D5","D5","P19878",11.4670960339057
"4","01016","01016D5","D5","Q08050",10.7642910794021
"5","01016","01016D5","D5","Q9NW38",8.36413465500805
"6","01016","01016D5","D5","P35520",9.7429830418116
"7","01016","01016D5","D5","P09104",13.013880937935
"8","01016","01016D5","D5","Q8N2W9",8.53954658023841
"9","01016","01016D5","D5","Q13651",10.6345388178771
"10","01016","01016D5","D5","P10914",9.46821673206244
"11","01016","01016D5","D5","P40763",11.9417812422785
"12","01016","01016D5","D5","P05412",9.6386169183243
"13","01016","01016D5","D5","P84022",12.5816478233937
"14","01016","01016D5","D5","Q15796",13.0237716766229
"15","01016","01016D5","D5","P29460",10.0060455077265
"16","01016","01016D5","D5","P16234",10.1660375162558
"17","01016","01016D5","D5","P29459",7.52120781622399
"18","01016","01016D5","D5","Q9Y5C1",16.0705339826174
"19","01016","01016D5","D5","P16860",10.9883296492311
"20","01016","01016D5","D5","Q9H6B4",9.62881004116006
"21","01016","01016D5","D5","P09238",11.1491119907069
"22","01016","01016D5","D5","P04843",12.3968188150137
"23","01016","01016D5","D5","O15173",9.91528186586766
"24","01016","01016D5","D5","P32927",8.06824086131282
"25","01016","01016D5","D5","P09874",8.19819945543749
"26","01016","01016D5","D5","O00238",8.20261362014849
"27","01016","01016D5","D5","Q8N6K0",9.25361115194717
"28","01016","01016D5","D5","Q9HC56",11.6692837085043
"29","01016","01016D5","D5","Q6UX71",9.49864978776841
"30","01016","01016D5","D5","O14967",12.2220703552472
"31","01016","01016D5","D5","O60568",12.1668535025088
"32","01016","01016D5","D5","Q1W4C9",7.95710204156229
"33","01016","01016D5","D5","Q9BUP3",9.21577565302028
"34","01016","01016D5","D5","Q8TD46",7.65963918701565
"35","01016","01016D5","D5","Q9UJJ9",10.1160839927638
"36","01016","01016D5","D5","Q12846",10.7661147575867
"37","01016","01016D5","D5","P07988",7.80992886572143
"38","01016","01016D5","D5","O95168",9.22303633790187
"39","01016","01016D5","D5","P12821",9.66622400280318
"40","01016","01016D5","D5","P30740",12.3546626234741
"41","01016","01016D5","D5","P09603",6.42290574261218
"42","01016","01016D5","D5","P48058",10.9409742222239
"43","01016","01016D5","D5","Q8N6G5",9.07199858075306
"44","01016","01016D5","D5","P50454",10.0063260785249
"45","01016","01016D5","D5","Q9P109",10.1348113297969
"46","01016","01016D5","D5","O15031",12.7650374082227
"47","01016","01016D5","D5","O75871",9.78365308639007
"48","01016","01016D5","D5","Q13018",12.368479178817
"49","01016","01016D5","D5","P05387",8.44252886873253
"50","01016","01016D5","D5","P01236",10.6576757291871
"51","01016","01016D5","D5","P02818",9.68929916053589
"52","01016","01016D5","D5","P05113",8.18388345903223
"53","01016","01016D5","D5","P21695",10.0757465380609
"54","01016","01016D5","D5","Q9Y5N5",11.5285029486328
"55","01016","01016D5","D5","O00206",8.63263175211247
"56","01016","01016D5","D5","P02452",11.4225378757388
"57","01016","01016D5","D5","Q14494",8.5853381536437
"58","01016","01016D5","D5","Q9NQ60",8.23697088625934
"59","01016","01016D5","D5","Q9NT68",10.7157046495212
"60","01016","01016D5","D5","Q92922",9.55516428014005
"61","01016","01016D5","D5","Q96TA2",9.21965256510381
"62","01016","01016D5","D5","P20823",8.29874994724805
"63","01016","01016D5","D5","Q15813",12.7764741577149
"64","01016","01016D5","D5","P51580",10.9046346216682
"65","01016","01016D5","D5","Q7Z5B4",10.102631888855
"66","01016","01016D5","D5","O75460",10.2494690444768
"67","01016","01016D5","D5","Q15113",12.7283669744282
"68","01016","01016D5","D5","P10746",10.6968806142766
"69","01016","01016D5","D5","Q9NZR2",9.8726748802706
"70","01016","01016D5","D5","Q9UBS5",8.7714894695006
"71","01016","01016D5","D5","Q99259",8.72109918870719
"72","01016","01016D5","D5","P28906",8.91079261307751
"73","01016","01016D5","D5","P49902",11.3651194671642
"74","01016","01016D5","D5","Q6UXK5",8.74416109557041
"75","01016","01016D5","D5","Q99523",8.47126876417358
"76","01016","01016D5","D5","Q9Y3Z3",9.46229776553889
"77","01016","01016D5","D5","Q9H0M0",12.6305856660499
"78","01016","01016D5","D5","P15918",9.09328550387792
"79","01016","01016D5","D5","P49959",9.63608078876958
"80","01016","01016D5","D5","P42331",14.0967563267047
"81","01016","01016D5","D5","Q9NPI8",8.96837880137054
"82","01016","01016D5","D5","P51451",8.09855851793841
"83","01016","01016D5","D5","P37837",14.0845260648817
"84","01016","01016D5","D5","Q9H9Q4",8.88417051910844
"85","01016","01016D5","D5","Q9NQ66",13.201312232719
"86","01016","01016D5","D5","Q9GZV4",10.7418040253096
"87","01016","01016D5","D5","P54819",16.1615649414927
"88","01016","01016D5","D5","Q99941",10.7958773167951
"89","01016","01016D5","D5","Q03426",11.9998591049327
"90","01016","01016D5","D5","Q14289",10.9812818540574
"91","01016","01016D5","D5","P16930",13.0101084534743
"92","01016","01016D5","D5","O00151",12.0216046474885
"93","01016","01016D5","D5","P25686",12.1260268406528
"94","01016","01016D5","D5","Q8IUC4",9.02209034499396
"95","01016","01016D5","D5","O14543",9.22905911963416
"96","01016","01016D5","D5","O43251",8.26256470208851
"97","01016","01016D5","D5","Q9Y4C8",9.3741700760685
"98","01016","01016D5","D5","O14791",15.5941262897156
"99","01016","01016D5","D5","P13987",11.2131042196419
"100","01016","01016D5","D5","P08397",15.174960782245
"101","01016","01016D5","D5","Q9UP52",8.44418666269936
"102","01016","01016D5","D5","O43524",10.0011266654543
"103","01016","01016D5","D5","Q92576",8.1048607997082
"104","01016","01016D5","D5","Q92956",11.1096348000294
"105","01016","01016D5","D5","Q8N6T3",9.3264294871223
"106","01016","01016D5","D5","P68106",11.4492002429878
"107","01016","01016D5","D5","Q8IWI9",10.5067042800898
"108","01016","01016D5","D5","P20701",9.53605290024021
"109","01016","01016D5","D5","P29373",13.5603208913233
"110","01016","01016D5","D5","O60674",12.2970308839622
"111","01016","01016D5","D5","Q92508",8.00112666545428
