ENTREZID,stat
26289,-1.682358711
1950,-1.68685719
8740,-1.690045717
2922,-1.695200693
80031,-1.712092584
22933,-1.729666846
84706,-1.735229582
79641,-1.742399732
246778,-1.753201943
2235,-1.7616587
2160,-1.773005374
5539,-1.777569057
627,-1.787506285
57689,-1.788591761
4017,-1.812617437
5686,-1.814950793
50863,-1.817096246
2920,-1.835742166
6678,-1.851132866
10447,-1.852801302
84572,-1.85440449
10857,-1.85724658
1946,-1.867906524
8639,-1.868539258
9131,-1.870762041
875,-1.872611246
4179,-1.878401949
2146,-1.883367632
10667,-1.90291859
1404,-1.903185118
590,-1.903992478
51091,-1.920376872
204474,-1.930025672
25928,-1.940141028
81605,-1.949845176
5156,-1.950758248
941,-1.958940993
3693,-1.959243714
4057,-1.964305987
6181,-1.964715403
6927,-1.967095057
3588,-1.968458977
2277,-1.980305981
55166,-1.982799852
337,-1.983391284
84695,-1.986499817
5168,-1.9865507
50616,-1.987384124
23765,-2.001719633
885,-2.004022801
29993,-2.012699939
683,-2.01348598
2335,-2.016470758
9527,-2.019247855
658,-2.020307532
11202,-2.021670958
91,-2.057551115
177,-2.074028705
1363,-2.094375217
79089,-2.098677804
7066,-2.104394794
960,-2.126082851
79827,-2.128944691
28972,-2.130902569
7040,-2.137174359
3643,-2.140196225
10231,-2.14793639
3725,-2.148667128
608,-2.151011297
6355,-2.153808324
5576,-2.160181143
3587,-2.16127222
2323,-2.17502808
85415,-2.181301587
79608,-2.181936162
3091,-2.183300693
29126,-2.184444731
3684,-2.205301618
6348,-2.205578016
4193,-2.209340738
5744,-2.211076756
4688,-2.215952415
4040,-2.222559548
3815,-2.241220782
919,-2.246391275
197,-2.249148019
27253,-2.260855528
2022,-2.276826939
6776,-2.276910247
5270,-2.283824636
23468,-2.284809977
2571,-2.285759794
1272,-2.28685213
4312,-2.29267055
51277,-2.295955163
962,-2.300807163
6446,-2.303589992
942,-2.307728694
5294,-2.309518509
1440,-2.3209148
56253,-2.345931777
51301,-2.351689424
1499,-2.354759154
51004,-2.371099777
3440,-2.372301379
4689,-2.398297099
3552,-2.404426963
9332,-2.417623219
7421,-2.423081494
5652,-2.43223858
10537,-2.433504803
56034,-2.434397732
54557,-2.444428785
4756,-2.44680088
23705,-2.451627995
4313,-2.453319864
6777,-2.4725178
54097,-2.473443277
3098,-2.488667426
5196,-2.492786221
246243,-2.495404155
8545,-2.497690519
2893,-2.515543002
