"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P49746",0.838374964598261,12.6529799512529,6.06134965552239,4.82041439125093e-08,2.41020719562546e-05,8.25902664634083
"P35443",0.521890363293636,14.2110323953255,5.03586527619757,3.10961079350693e-06,0.0006663451700372,4.37175286115401
"P23352",0.399538777773944,10.3125358913531,4.48426358603685,2.54755704244689e-05,0.00477666945458793,2.42069452851778
"Q6FHJ7",0.474880777470081,12.8749647327129,3.94960026100311,0.000173466049046015,0.0260199073569022,0.654229516488737
"Q15063",0.418630550450082,12.8148272224548,3.91361089105809,0.000196427648981822,0.0267855884975211,0.540359757215821
