SeqId,UniProtID
23343-6,Q9GZN7
10367-62,P29459
3321-2,Q13007
25051-104,Q9C0B1
4188-1,O43488
23556-4,Q14135
5909-51,P15531
5692-79,P01375
2999-6,Q13449
16043-30,P29353
2952-75,P05019
3874-8,P68036
18399-1,O43687
2637-77,P22897
17357-33,Q9HD40
5532-53,P11362
8418-30,P35222
21190-4,Q96B02
4883-56,P01308
8952-65,P09919
9848-22,P51946
3079-62,Q99969
22541-46,Q14691
22123-15,Q07687
22796-17,Q96BN2
22821-50,P13051
11510-31,O14791
21574-106,Q86SG5
18284-77,Q8IX03
7920-30,Q92186
3617-80,Q04756
7116-31,Q8IYS5
4499-21,P04085
4126-22,P17213
4276-10,P30086
17510-7,P37108
2979-8,P42830
19586-89,Q96E17
21827-7,P17081
29727-42,P35520
5637-81,Q9Y2I2
11556-19,Q8N6T3
15670-15,Q7Z5L3
21653-205,Q9BTM9
11544-39,Q92576
2649-77,P32942
22847-18,Q13043
20086-5,Q15907
25460-36,Q13568
7140-1,P08217
21204-70,Q6ICB0
11211-7,Q15813
25904-17,Q92608
3896-5,P18669
9385-4,P10253
5357-60,Q8N0W4
11333-82,P42331
11514-196,P13987
13663-2,P05112
4967-1,Q07021
3360-50,O96017
23367-8,Q6AI12
15620-4,Q8N2Q7
3220-40,P07949
11193-27,P20823
19751-21,P00813
3741-4,P05113
3232-28,P13686
5023-23,P30566
2789-26,P09237
3209-69,Q9NQ76
3209-68,Q9NQ76
4209-60,Q9NP79
3487-32,O43927
8264-43,O00548
5230-99,P04035
19222-124,P61020
2942-50,P99999
7099-33,Q8N475
2558-51,P01189
2711-6,P26992
7767-1,Q6UWE3
21995-20,P29474
17764-108,P08134
4956-2,O14944
21786-25,Q92772
4138-25,Q9NYY1
34665-75,P10586
5694-57,Q9H4F8
24179-48,Q96BW5
24471-2,Q9Y6X0
8369-28,Q14118
3627-71,Q495T6
21720-13,Q495W5
5065-98,Q01151
3007-7,Q9Y336
2443-10,P55075
3392-68,Q9Y243
21131-109,A2RUC4
15566-10,P51911
12986-12,Q9NUP9
13682-47,P07333
2652-15,Q03405
18321-38,P13995
12603-87,Q13310
12768-3,Q86XI6
16588-10,P11021
20534-6,Q8WTV0
4546-27,Q9UHX3
5264-65,P27797
17156-72,O15075
22019-21,Q9UQQ2
22404-4,Q92551
6221-1,Q9BRR6
9171-11,P50461
19152-4,P41236
5475-10,P05771
16583-8,P50583
10534-40,P09874
17380-2,P61086
25050-82,P29144
2976-58,Q02413
4155-3,P24821
14286-7,O95644
12534-10,Q13137
34540-29,Q4G0M1
11067-13,P02818
