SeqId,UniProtID
2844-53,P35590
3616-3,P15586
21713-11,P78509
4970-50,P00918
21513-1,P55210
2640-3,Q04912
10612-18,O60568
3413-50,Q16548
5888-29,P63241
8235-48,P05060
2762-30,O95750
15460-9,P27487
3073-51,O95998
15594-47,Q92743
4131-72,P02751
5035-7,P04818
9213-24,O95954
2948-58,P10912
2774-10,Q14005
14713-46,P20160
25922-7,O75197
21478-20,Q99717
3773-15,Q02763
9971-5,Q7Z408
9226-6,Q71RG4
22113-2,Q9Y2Z9
8933-84,Q06413
14047-78,P23560
5481-16,P20936
13621-31,O94973
2876-74,P11387
13991-47,O43432
13236-25,P56704
3028-36,P55773
7870-8,Q96KN2
7955-195,P19827
16851-50,O43819
30509-9,P22102
10387-1,P16860
4203-50,P23528
5737-61,Q92854
19333-4,P61978
9886-28,Q13426
10600-24,O14967
5412-53,P26842
20561-15,Q9UQ52
5451-1,Q13740
11354-21,Q9NQ66
3056-11,P26718
10557-6,Q8N6K0
5111-15,Q9HDB5
11587-5,Q8IWI9
21649-12,P56962
2658-27,Q16288
35554-7,P13500
10039-32,P00491
4328-2,Q9BWV1
4886-3,P80098
24422-36,Q86W54
4437-56,O75356
10666-7,Q9UJJ9
13501-10,Q8TBE7
2597-8,P15692
2693-20,P13725
3592-4,Q14012
15545-13,P63098
5301-7,P51671
23553-1,Q9P2A4
3285-23,P00736
8040-9,Q68G75
6081-52,Q9UKZ9
2474-54,P02743
11696-7,P29373
24221-3,P37231
9216-100,O15031
3651-50,P35968
10854-15,Q9P109
10086-39,P35520
11071-1,P05113
14096-1,P01374
12688-115,Q9UK32
14094-29,Q99075
24463-1,Q9UN36
13098-93,O43915
13730-18,P53634
21339-19,Q8TD30
6423-66,Q7Z5L3
13733-5,P29460
10677-9,O95168
5019-16,P09936
3835-11,O60603
14688-6,P35236
2475-1,P10721
5358-3,Q99983
18261-34,Q8N6N6
3022-4,P16410
3845-51,Q9NP97
13707-27,Q14515
8091-16,P48740
2579-17,P14780
6923-1,O00469
3194-36,Q9HCN6
2636-10,P36941
2681-23,P14210
23564-83,Q5VZV1
4150-75,P00747
11468-15,Q9Y4C8
3169-70,P35475
22505-24,Q4G0N4
12990-39,Q99759
2575-5,P41159
3122-6,Q9NR28
15596-7,O94992
3168-8,Q9UNA0
3535-84,O94907
19620-16,Q15700
8766-29,A6NI73
5638-23,Q8NBJ5
10490-3,P04843
20229-67,Q9BX74
3730-81,P43489
4162-54,P02787
4563-61,P19174
7875-86,P08567
13993-20,Q9H4G0
16551-14,P51692
2911-27,P21741
31534-2,P0CG47
10440-26,Q9H6B4
2201-17,P39060
13716-259,P00734
3798-71,Q16790
5007-1,Q16539
13719-19,O96013
10737-96,P30740
5843-60,Q96KQ7
5661-15,Q14116
9805-51,Q9NPR2
14599-18,Q9NY15
3844-2,P62937
14115-34,P35318
13131-5,P19367
9002-36,Q86U17
5351-52,P22626
16926-44,P05186
13657-2,Q96T60
3213-65,P14543
2714-78,Q12904
4127-75,P13671
5464-52,P62993
6472-40,P40967
32024-140,P22557
9837-60,P15559
14756-29,P13598
11336-9,Q9NPI8
25042-3,P23368
23672-10,Q15008
34622-86,P33908
5957-30,P61278
8916-32,Q13586
9844-138,P35609
4309-59,P60174
6651-74,P0CG47
23519-91,A6NGB7
7096-30,Q96DB5
3066-12,P17931
8833-43,P50591
3316-58,P05546
8407-84,Q04721
6593-5,Q14435
20520-14,Q92520
9443-137,P43235
3889-64,P20700
7805-52,O95249
16309-30,Q9UK85
17372-5,Q13541
4440-15,Q96P31
21375-34,Q8TBN0
21487-20,Q9UL45
13111-79,P41182
10363-13,P84022
11347-9,P37837
4322-28,Q9BXJ7
4831-4,P14151
13717-15,Q15485
4918-21,P01042
24699-20,Q15041
2783-18,P16619
25954-3,Q16849
10967-12,P01236
5009-11,P26038
12612-37,P20618
19187-21,O95630
5658-64,P05160
20073-22,P01116
3400-49,Q9UHD2
15324-58,P02792
2771-35,P08833
2925-9,P05121
3440-7,P12544
11101-18,O00206
2891-1,P20273
4129-72,P00751
4306-4,P29401
4862-63,Q13873
5687-5,P14314
3331-8,Q6NW40
9326-33,P19823
21227-18,P50225
21933-7,P41226
25964-12,Q9BXJ3
3391-10,P48736
19823-75,Q96EB6
4152-58,P03952
4829-43,P31947
10624-45,Q1W4C9
3600-2,Q13231
5316-54,P00734
12046-51,Q13148
12796-44,O95989
24952-28,Q96I24
11228-37,Q7Z5B4
8863-3,P27986
20161-41,P13591
5508-62,P07339
2599-51,P41273
9172-69,P22894
18880-81,P02461
9211-19,P36955
33770-13,Q9UPY5
15608-5,P23443
3488-64,P04040
15533-97,P21757
15314-49,Q9Y696
2819-23,P33151
5867-60,P05089
22510-6,Q16236
11537-12,Q9UP52
25033-194,P55072
5030-52,Q8IXJ6
17199-43,Q9NWT6
9875-107,Q96FV9
13948-50,O75899
20966-7,Q96LD8
3888-8,Q9UK53
12622-96,Q9NR48
34171-125,Q9HCJ2
8811-24,Q13145
9255-5,Q9P0M4
13101-60,Q9BQB4
2638-12,P07333
11319-106,P49959
7117-21,O75830
11162-37,Q9NQ60
25962-51,Q9H4A3
19545-145,Q99497
13658-31,Q9NRA1
17468-1,Q9UMX1
22972-26,P19875
3024-18,P08697
17752-24,P78540
25481-66,Q9UBB4
15381-45,Q16832
17447-52,Q6FHJ7
11368-32,P54819
12818-159,Q15849
21452-3,O00429
3326-58,Q9BY67
21996-28,Q9Y5A7
14755-4,P02788
9872-23,P26232
2827-23,P78423
11387-3,Q99941
20126-19,P14136
5632-6,Q9NQ79
11617-1,P20701
4160-49,P08253
21378-7,Q8TCS8
22055-31,Q12778
2700-56,P07225
6123-69,P04637
2746-56,Q9HC73
3000-66,P11226
12859-33,O75521
3580-25,P01009
28100-21,Q9Y2N7
13722-105,P02748
5606-24,P55081
2358-19,P35916
5599-88,Q8NBM8
24929-26,P35712
7218-87,P14415
21286-29,P62913
8240-207,Q14956
14056-32,P01215
19125-26,P13861
22529-31,Q8IWS0
8484-24,P41159
15589-1,P02774
16618-7,Q07108
3847-56,O95571
9889-42,Q8TED9
18813-15,Q9NUU7
12482-5,Q12830
11190-129,Q96TA2
5383-14,Q96RJ3
12720-71,Q9NRR5
11275-94,Q9NZR2
5275-28,P15498
2695-25,P16284
24294-13,P0CG13
16055-3,Q9BXR6
26275-5,P41236
2580-83,P05164
21837-3,P43308
9288-7,Q9Y680
20975-2,Q14206
22810-41,Q9BVW5
5440-26,P48788
4719-58,P30101
22845-3,O60783
19177-7,Q7L9L4
5798-3,P55957
18837-9,Q96EQ0
21387-64,Q16819
8221-19,P14174
8535-102,Q6E0U4
21406-25,Q16584
14066-49,Q86UL8
3466-8,P17612
5870-23,Q92934
12813-18,Q8NDI1
22578-17,Q9HCK4
4125-52,Q15109
12656-1,Q07866
11218-84,P51580
23321-42,Q8NBZ0
3486-58,P05230
3010-53,Q969D9
21134-9,Q9NS37
20964-13,P62263
3172-28,P15848
13671-40,P08246
8470-213,O60930
25898-4,Q9BWS9
8358-30,P30048
3070-1,P60568
10668-5,Q12846
3348-49,P13497
8918-64,Q14289
13228-75,Q00987
13479-8,A8MVW0
32015-53,P04406
3432-21,P29320
13686-2,Q01344
9450-18,O14519
4496-60,P39900
21670-52,O00308
13640-5,P41182
12798-46,Q2Y0W8
20542-47,P30988
6035-2,P15907
12558-3,Q8TF42
2381-52,P01031
2788-55,P08254
3419-49,Q13557
5813-58,P01588
17170-15,P10092
4673-13,P05231
22148-135,Q9BZS1
4567-82,O60880
16892-23,Q13822
4314-12,Q9H773
13742-66,Q9GZX6
