"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P35443",0.586640156318674,14.2110323953255,5.27319297561394,1.2172540348791e-06,0.000765505897529952,5.23491950155549
"Q9UKZ9",0.498868817279721,13.6487895341025,5.24479847753351,1.36308800432104e-06,0.000765505897529952,5.13047985043557
"P42892",0.419682203907746,10.3079629170737,5.14293572903984,2.04134906007987e-06,0.000765505897529952,4.75787019535235
"P49746",0.726201634359823,12.6529799512529,4.890973506534,5.4622465506536e-06,0.0014352496972235,3.85087233523659
"Q8IUL8",0.727470963462455,10.2987383109568,4.72237674992532,1.04219035176497e-05,0.00202295093203052,3.25656704392286
"Q8N428",0.493352657961227,10.8070585130495,4.01614246962009,0.000137615092524399,0.0187656944351453,0.895091341071907
"Q16674",0.416897174425946,11.04779829577,3.94444943077236,0.000176586856078981,0.0220733570098726,0.66834909555156
"Q9UHX3",0.597366036751691,9.88626652075815,3.79316092874998,0.000296372331841583,0.0341968075201826,0.198589641917498
