"","Protein","p_value","FDR","OverexpressedAt","emmean"
"254","P07225",0.000357900010403112,0.00211358273860105,"D5",12.9065098415097
"255","P49815",0.000371539697619513,0.00218552763305596,"D5",9.17621863015141
"256","P40925",0.000379002048950464,0.00222071513056913,"D1",15.4588272145854
"257","P35222",0.00039853219144229,0.00232606337417679,"D3",9.41612642675231
"258","O00238",0.000405276888636697,0.00235626098044591,"D3",8.32230515345984
"259","P01189",0.000409368673692307,0.00237086104455004,"D1",8.85025960457232
"260","P00736",0.000412047804310263,0.00237719887102075,"D2",16.7886174339638
"261","P02790",0.000423769298831668,0.00243524697372861,"D1",17.8247784634815
"262","P01189.1",0.000425356471411264,0.00243524697372861,"D1",9.46942199556364
"263","Q15777",0.000437537346921752,0.00249546015354611,"D2",9.52076883329366
"264","P26992.1",0.000444699919586433,0.00252670408855928,"D5",12.1404854886108
"265","Q96B67",0.000450038607871044,0.00254738834643987,"D5",9.65421521733184
"266","Q07507",0.000454806381353707,0.002555092030077,"D5",10.6887869066459
"267","P04004",0.000453268628734089,0.002555092030077,"D2",11.6610889707268
"268","O60568",0.000471797760337567,0.00264065910636698,"D2",11.9942868172817
"269","Q92922",0.000480428322644773,0.00267896834188535,"D3",9.98562193848997
"270","Q9Y5U5",0.000493723509210297,0.00274290838450165,"D5",9.01325728501389
"271","P06401",0.000515083374419258,0.00285101498756047,"D1",13.7443128741589
"272","P02741",0.000520452718432618,0.00287014366782694,"D2",16.4907061658849
"273","Q01105",0.000537375419245866,0.00295261219365861,"D5",13.4041045534631
"274","Q9UJZ1",0.000539998156229724,0.00295619428592915,"D3",9.96974329281874
"275","Q9P121",0.000553636065788731,0.00301983308612035,"D5",12.9911676590778
"276","Q9NS37",0.000588454374369906,0.00319812159983645,"D4",8.45190245306962
"277","P58499",0.000598083604326993,0.00323871987902704,"D5",10.100848782514
"278","Q14116",0.000611143885641987,0.00329753895130569,"D1",10.5553850166463
"279","P01009",0.000647304952787009,0.00348013415476887,"D2",15.298907221957
"280","P00749",0.000662579342633052,0.00354953219267706,"D5",10.5136698562591
"281","Q7Z3B1",0.000682030036537534,0.00364072973240677,"D5",11.3346272625721
"282","Q9NS98",0.00069968163794755,0.00372171084014654,"D5",10.2905057647105
"283","P02768",0.000729052295714868,0.003864234782941,"D1",15.3285429999716
"284","Q13651",0.00074714784776437,0.00393283546783583,"D3",11.1199455985813
"285","P78556",0.000747238738888807,0.00393283546783583,"D1",7.7528657799281
"286","P40225",0.000753093536765757,0.00393602893780012,"D4",9.34394993420348
"287","P50461",0.000752043114683572,0.00393602893780012,"D1",10.3253832867853
"288","Q99958",0.000772643799285942,0.00401026193401008,"D1",8.35279578289255
"289","Q9BZW8",0.000771258334789846,0.00401026193401008,"D1",6.86686402241339
"290","Q86W54",0.000781313985850417,0.00404127923715733,"D5",9.3286013165774
"291","P03956",0.000786764567237647,0.00405548745998787,"D3",14.9513337079467
"292","P01275",0.00079424370069335,0.00408001901041104,"D4",9.83368364241998
"293","P21757",0.000801822570511552,0.00410489370569054,"D3",12.79031678518
"294","Q9UFW8",0.000831841568349826,0.00423680360443839,"D3",6.2543732591155
"295","Q9BY76",0.000833238042206216,0.00423680360443839,"D2",12.6492773731395
"296","P48736",0.000875768794118636,0.00443801753776336,"D3",12.1686172214303
"297","Q16853",0.000881474109060553,0.00445188943969976,"D5",15.126856935162
"298","P15918",0.000896285211913202,0.00451150274452954,"D1",9.30554607668322
"299","P00747",0.000899514516839141,0.00451261463297228,"D5",15.5702430673523
"300","P01024.1",0.000919189446288543,0.00459594723144272,"D3",11.0672505679908
"301","P22309",0.000937160205356937,0.00467023358151297,"D2",9.88022159968468
"302","P05305",0.000953414462289772,0.00473026423339113,"D1",9.31182294273324
"303","Q9NWH9",0.000955513375145008,0.00473026423339113,"D1",9.05869550394501
"304","Q9UBU3",0.00101610496872854,0.00501367583254214,"D5",9.88234624594228
"305","Q92843",0.00102201041979509,0.00502628075309059,"D2",8.86372810772555
"306","P21802",0.0010409702096431,0.00510279514530932,"D5",8.45492860222882
"307","Q99731",0.00104623299784966,0.00511188761164328,"D4",8.54093065325037
"308","Q9UBR1",0.00106192351566145,0.00517170543341615,"D1",9.6085487093829
"309","Q9UHD0",0.00106691498338938,0.00517919894849215,"D1",12.6314319292643
"310","Q13018",0.00107240601142727,0.00518906134561583,"D4",12.4112033651807
"311","P09601",0.00111842170653647,0.00539431691255534,"D1",11.5538775000596
"312","P19823",0.00116039258910394,0.00557881052453818,"D1",16.5149189673185
"313","P00915",0.00124725044137428,0.00597723853693743,"D1",15.5833871733623
"314","P00742.1",0.00128828709854371,0.00615423773189668,"D5",12.890119142366
"315","O75716",0.0012973172493011,0.00617770118714808,"D3",10.9651366859821
"316","Q16548",0.00135989316422534,0.00645518907068992,"D1",9.3570183228564
"317","O75094",0.00137002261603344,0.00646237083034641,"D5",11.5249903734526
"318","P18075",0.0013692329828784,0.00646237083034641,"D5",8.94818190021184
"319","Q92793",0.00140125264310903,0.00658896227167254,"D2",11.6908512879512
"320","P51911",0.00145961651556234,0.00684195241669845,"D1",11.8327772821617
"321","Q8IWS0",0.00149501796186633,0.00698606524236603,"D1",9.23350224510532
"322","P09936",0.00151557194276714,0.00704709408367825,"D2",9.57201550672523
"323","P22105",0.00151747425935205,0.00704709408367825,"D1",13.8846217488997
"324","P28070",0.00159416838583298,0.00737120065344067,"D1",9.77908737200484
"325","P35638",0.00159709347491215,0.00737120065344067,"D4",7.92762024232392
"326","P07339",0.00162900779648798,0.00749543464641707,"D2",11.3649934259414
"327","O43240",0.00166265860628547,0.00762687434075905,"D5",10.7618282713521
"328","P22004",0.00168484685930804,0.00770509234439653,"D1",9.70437206788581
"329","O43687",0.00172422724850697,0.00786121845823847,"D3",10.0721044968753
"330","P08727",0.00176876553728654,0.00803984335130243,"D3",10.4409701547451
"331","P53634.1",0.0017842720461579,0.00808582498258867,"D3",9.18926641793174
"332","P01130",0.00180034870500529,0.00813410559490343,"D1",7.54360656753041
"333","P36952",0.00183817582834177,0.00828007129883679,"D5",8.87443287871754
"334","Q6ICB0",0.00185620633739943,0.00833625600628489,"D4",8.9377510977148
"335","Q8WZ19",0.00186921623775716,0.00836962494518131,"D4",11.6984247984847
"336","P11362",0.0019415487240561,0.00866762823239331,"D5",10.0064451323943
"337","P12821",0.001971867370016,0.00877386064079224,"D1",9.75759424047498
"338","P42701",0.00198289250481905,0.00877386064079224,"D5",8.11900913618925
"339","Q92506",0.00197931810223712,0.00877386064079224,"D3",10.4747586047211
"340","Q12805",0.00199953612437225,0.00882148290164228,"D3",11.3990142005491
"341","Q99523",0.00201551058642856,0.00886588234499365,"D4",8.85463981108532
"342","O15075",0.00204539009246338,0.00897100917747095,"D1",11.6450867486867
"343","P08709",0.00209358782006383,0.00915563186616837,"D1",16.419236473322
"344","P13598",0.00222600314915617,0.00970640908062283,"D5",12.5347209913122
"345","Q86VB7",0.0022537627406712,0.00979896843770087,"D5",11.3650560326346
"346","P02461",0.00231232823096762,0.010014779222367,"D3",13.5701617723441
"347","P14784",0.00231675226010756,0.010014779222367,"D5",10.735331325681
"348","Q16819",0.00237761192920166,0.0102483272810417,"D1",12.5340318311519
"349","P12644",0.0024083534883688,0.0103510894915564,"D5",9.39210197746627
"350","P16234",0.00242694495123296,0.0103878658409612,"D4",10.5660624596773
"351","P53634",0.00243076060678493,0.0103878658409612,"D2",13.268906660773
"352","Q9BXY4",0.00246053709441141,0.0104852433000486,"D2",9.61855913562739
